id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
7	australia	0.778	-0.0699	2	42	494	495	12544	1854.6856	2017.2316	25.3414	3.7468
8	austria	-0.5368	-0.2768	1	42	602	602	11789	1749.546	2017.1866	19.5831	2.9062
12	belarus	-0.4572	1.2465	4	42	363	363	2642	413.7913	2017.1872	7.2782	1.1399
13	belgium	-0.1064	-0.411	1	42	789	790	16634	2315.4707	2017.1058	21.0557	2.931
17	brazil	0.5677	-0.0663	2	42	215	215	3634	609.8691	2017.783	16.9023	2.8366
18	bulgaria	-0.4079	0.2951	1	42	319	319	6187	777.0687	2016.8974	19.395	2.436
22	canada	0.5596	-0.4019	2	42	416	416	7693	1230.7065	2017.3463	18.4928	2.9584
27	croatia	-0.5616	0.067	1	42	363	363	5686	833.4026	2017.3352	15.6639	2.2959
30	czech republic	-0.609	0.2198	1	42	774	774	15227	1951.2804	2017.0392	19.6731	2.521
32	denmark	-0.3471	-0.6614	3	42	762	762	17018	2494.5012	2017.0332	22.3333	3.2736
37	england	0.192	-0.6794	1	42	1712	1712	32928	4642.6825	2017.2091	19.2336	2.7118
38	estonia	-0.9438	0.0228	3	41	641	641	9407	1242.029	2016.875	14.6755	1.9376
43	finland	-0.7637	-0.3445	3	42	896	896	14740	2223.8411	2017.2298	16.4509	2.482
44	france	0.145	0.0811	1	42	1414	1414	29520	3935.1149	2017.0861	20.8769	2.783
47	germany	0.2879	-0.5277	6	42	2148	2148	37822	5286.7035	2017.0663	17.608	2.4612
49	greece	-0.2521	-0.328	1	42	535	535	12784	1737.3117	2017.174	23.8953	3.2473
53	hungary	-0.4555	0.0942	1	42	503	503	10049	1332.2401	2017.1457	19.9781	2.6486
55	india	1.0365	0.0107	2	42	206	206	2768	541.2654	2017.93	13.4369	2.6275
57	iran	2.1583	0.263	7	42	323	323	5109	740.4185	2017.2317	15.8173	2.2923
59	ireland	-0.4023	-0.3387	1	42	262	262	6264	820.39	2016.9844	23.9084	3.1313
60	israel	-0.204	-0.1276	1	42	260	260	4286	679.895	2017.393	16.4846	2.615
61	italy	0.1195	-0.1028	1	42	1663	1663	32547	4688.8716	2017.1773	19.5713	2.8195
63	japan	0.9924	0.2385	2	42	313	313	5666	819.867	2017.6278	18.1022	2.6194
70	latvia	-0.5364	0.7253	3	42	856	856	10277	1494.2757	2017.0213	12.0058	1.7456
74	lithuania	0.3752	0.2991	2	42	10982	24898	174835	24615.7591	2016.7915	7.022	0.9887
93	netherlands	-0.0785	-0.5824	1	42	964	964	22921	3192.4449	2017.1797	23.777	3.3117
101	norway	-0.6896	-0.6524	3	42	582	582	13016	1866.484	2017.0941	22.3643	3.207
107	peoples r china	1.2759	0.1676	2	42	619	619	6646	1399.0584	2018.0427	10.7367	2.2602
110	poland	-0.1418	0.5946	5	42	1718	1720	25836	3586.8443	2017.2602	15.0209	2.0854
111	portugal	0.004	-0.1627	1	42	700	700	12315	1771.4176	2017.2617	17.5929	2.5306
114	romania	-0.3342	0.1272	1	42	494	494	7566	1122.1753	2017.3531	15.3158	2.2716
115	russia	-0.2322	0.776	4	42	848	848	11056	1534.965	2017.0803	13.0377	1.8101
118	scotland	-0.1368	-0.734	1	41	287	288	7870	1191.0896	2017	27.3264	4.1357
119	serbia	-0.2602	0.2119	1	42	353	353	6829	941.423	2017.2803	19.3456	2.6669
122	slovakia	-0.5987	0.4483	1	42	361	361	5171	679.058	2017.2514	14.3241	1.881
123	slovenia	-0.631	-0.0527	1	41	367	367	7454	1030.7308	2017.0882	20.3106	2.8085
126	spain	0.1349	-0.4224	1	42	1456	1456	30389	4417.3784	2017.3013	20.8716	3.0339
131	sweden	-0.5442	-0.6494	3	42	1366	1366	26767	3636.5081	2016.8799	19.5952	2.6622
132	switzerland	0.3697	-0.2223	2	42	826	826	18484	2505.75	2017.3062	22.3777	3.0336
134	taiwan	0.8706	0.7904	2	39	162	162	1768	230.5649	2017.2152	10.9136	1.4232
139	turkey	0.1561	0.2974	1	42	512	512	7412	1089.2042	2017.2679	14.4766	2.1274
143	ukraine	-0.6425	1.2162	4	42	637	637	6367	931.1183	2016.9256	9.9953	1.4617
145	usa	0.8501	-0.3786	2	42	1933	1937	35150	4919.6675	2016.99	18.1466	2.5398
