id	x	y	cluster	weight<Links>	weight<Total link strength>
1000	-1.1996	-0.0914	2	203	127.6882
1001	0.4662	0.4131	4	203	74.7816
1002	0.7105	0.2559	1	203	72.5459
1003	0.8285	0.0737	1	203	98.2219
1004	0.9453	0.3063	1	203	48.5073
1005	1.0445	-0.285	1	203	99.4431
1006	0.628	0.0971	1	203	108.298
1007	0.7808	-0.2043	1	203	106.308
1008	-1.2105	0.2979	3	203	68.6221
1009	0.2527	0.1814	1	203	144.9008
1010	-0.7904	0.4541	3	203	119.081
1011	0.451	0.1562	1	203	123.2272
1012	0.9251	-0.1014	1	203	111.5257
1013	-0.5228	0.5622	3	203	106.5742
1014	0.8637	0.3186	1	203	46.8746
1015	0.0904	-0.4841	5	203	137.928
1016	1.1684	-0.315	1	203	71.1456
1017	-0.863	0.5183	3	203	92.138
1018	0.8134	-0.249	1	203	116.2965
1019	-1.2027	-0.2153	2	203	101.1396
1020	-0.6426	0.1705	2	203	134.1644
1021	-0.3737	0.4817	3	203	128.6372
1022	0.9782	-0.081	1	203	70.3452
1023	0.1224	0.0211	1	203	93.4272
1024	-0.5689	-0.2294	2	203	173.4844
1025	-0.2009	-0.5779	5	203	111.2396
1026	-0.3783	0.2975	3	203	170.7893
1027	1.037	0.6122	4	203	18.142
1028	0.9969	0.5844	4	203	26.7223
1029	-1.1842	-0.1421	2	203	133.8975
1030	0.776	-0.3769	1	203	133.9562
1031	0.7512	-0.445	1	203	106.4717
1032	0.9663	-0.2473	1	203	106.2398
1033	-0.7596	0.4545	3	203	115.5882
1034	-0.8305	-0.1178	2	203	165.1541
1035	-1.1075	-0.0675	2	203	86.0533
1036	-0.5508	0.096	2	203	168.5498
1037	0.6732	-0.4565	1	203	129.5241
1038	1.008	-0.0668	1	203	96.9177
1039	-0.9701	-0.0221	2	203	133.1412
1040	0.7266	-0.2866	1	203	131.5344
1041	0.5159	-0.3682	1	203	133.6912
1042	-1.0543	-0.2625	2	203	122.579
1043	0.5479	-0.6007	1	203	120.2936
1044	0.4133	0.4547	4	203	90.2586
1045	-0.8118	0.5681	3	203	83.9125
1046	0.8364	0.2346	1	203	70.3715
1047	-0.7427	-0.2285	2	203	131.7471
1048	0.7475	-0.1518	1	203	135.7234
1049	0.5549	0.3381	4	203	76.8974
1050	-0.0467	-0.1329	2	203	111.2261
1051	1.0325	-0.04	1	203	88.2734
