id	x	y	cluster	weight<Links>	weight<Total link strength>	label
1000	-1.1996	-0.0914	2	203	127.6882	0_저어콘(Zr) 이용 연대 측정 및 초대륙 지각 진화
1001	0.4662	0.4131	4	203	74.7816	1_극지 환경 오염물질 모니터링과 생태계 영향
1002	0.7105	0.2559	1	203	72.5459	2_남극 세균으로부터 얼음결합단백질 기능 및 산업적 응용 연구
1003	0.8285	0.0737	1	203	98.2219	3_북극 빙하 난민의 생물지리적, 인구유전학적 연구 및 북극 식물의 진화
1004	0.9453	0.3063	1	203	48.5073	4_극지미생물 유래 저온적응 효소의 구조 및 기능 분석과 생산 기술
1005	1.0445	-0.285	1	203	99.4431	5_해양 소화성 어류 생물종 개체수 및 자원 관리를 위한 유전자 다형성 분석
1006	0.628	0.0971	1	203	108.298	6_북극 토양 탄소 분해와 기후변화 피드백
1007	0.7808	-0.2043	1	203	106.308	7_극지 생태계 먹이 밀도 분포와 보존 전략
1008	-1.2105	0.2979	3	203	68.6221	8_극지 전리층 변화 및 지자기폭풍 시뮬레이션 연구
1009	0.2527	0.1814	1	203	144.9008	9_북극 생태계 식생변화의 기후변화 위험 분석
1010	-0.7904	0.4541	3	203	119.081	10_오존 고갈과 회복에 있어서 남극 오존홀 측량 및 할로겐 화학의 역할
1011	0.451	0.1562	1	203	123.2272	11_극지 박테리아 유전특성 분석 및 미생물 다양성 연구
1012	0.9251	-0.1014	1	203	111.5257	12_극지 지역 해양 생물에 대한 온도 상승 영향과 적응에 대한 연구
1013	-0.5228	0.5622	3	203	106.5742	13_북극 에어로졸 관찰 및 모델링
1014	0.8637	0.3186	1	203	46.8746	14_남극 세균의 분리와 다양성 및 다상분류 연구
1015	0.0904	-0.4841	5	203	137.928	15_철분(Fe)으로 인한 극지 식물성 플랭크톤 블룸과 생물지구화학적 해양 생태계 순환
1016	1.1684	-0.315	1	203	71.1456	16_북극곤들메기 등 어류의 효과적 양식 기술
1017	-0.863	0.5183	3	203	92.138	17_극지 진동 예측과 기후변화 영향
1018	0.8134	-0.249	1	203	116.2965	18_극지 조류 생태계에 대한 자외선 영향 및 UV 차단 유기물질의 모니터링 지표 연구
1019	-1.2027	-0.2153	2	203	101.1396	19_극지 대륙 지각 암석학적 및 지구화학적 특성 연구
1020	-0.6426	0.1705	2	203	134.1644	20_남극 dry valley 등 극한환경에서 화성의 기후 환경 시뮬레이션 연구
1021	-0.3737	0.4817	3	203	128.6372	21_브롬 원자 산화를 포함한 수은의 극지대기 모델링과 오존파괴
1022	0.9782	-0.081	1	203	70.3452	22_기후변화에 따른 북극새의 식생 이동과 생태 변화
1023	0.1224	0.0211	1	203	93.4272	23_극지 지역 화석을 이용한 지질시대의 생물분포 및 고기후 연구
1024	-0.5689	-0.2294	2	203	173.4844	24_고기후/고해양의 기후 발달 및 빙하 주기와 지질화학적 분석 연구
1025	-0.2009	-0.5779	5	203	111.2396	25_남극 극지 해류 순환 역학 모델링과 기후변화 영향
1026	-0.3783	0.2975	3	203	170.7893	26_영구동토층 탄소 기후 피드백 가속화 및 그 영향
1027	1.037	0.6122	4	203	18.142	27_극지 지역 주민들의 건강과 질병 연구 (트롬쇠 연구)
1028	0.9969	0.5844	4	203	26.7223	28_이누이트의 전통 고지방 식단과 심혈관계 질환 영향 연구
1029	-1.1842	-0.1421	2	203	133.8975	29_그린랜드 및 바렌츠해의 지질학적 진화 연구
1030	0.776	-0.3769	1	203	133.9562	30_남극 저서생물의 다양성 및 생태계  연구
1031	0.7512	-0.445	1	203	106.4717	31_온난화로 인한 해양생태계 변화- 대서양대구 및 열빙어의 생태 변화
1032	0.9663	-0.2473	1	203	106.2398	32_남극 해양포유류 생태 연구 및 개체수 보존
1033	-0.7596	0.4545	3	203	115.5882	33_CMIP5 지구 시스템 모델을 사용한 북극해 관찰 및 기후변화 예측
1034	-0.8305	-0.1178	2	203	165.1541	34_빙하에 의한 해수면 상승 가속화 및 미래 해수면 변화 예측
1035	-1.1075	-0.0675	2	203	86.0533	35_남극 운석 성분 분석과 행성 기원 및 진화 연구
1036	-0.5508	0.096	2	203	168.5498	36_홀로세 온난기후동안 북대서양 기후 변동성 및 생태 환경 영향
1037	0.6732	-0.4565	1	203	129.5241	37_극지 지역 조개류 생태계 연구
1038	1.008	-0.0668	1	203	96.9177	38_기후변화로 인한 북극여우의 생태 변동 연구
1039	-0.9701	-0.0221	2	203	133.1412	39_빙상 역학 이론 및 지역 사례 연구
1040	0.7266	-0.2866	1	203	131.5344	40_극지 해양생태계에서 고래 생태 연구와 기후변화 영향
1041	0.5159	-0.3682	1	203	133.6912	41_기후변화로 인한 해양의 미생물 바이오매스, 용존유기물질 등의 변동에서 플랑크톤의 영향 연구
1042	-1.0543	-0.2625	2	203	122.579	42_극지 지역의 맨틀, 해령 관측 및 맨틀 대류 모형 연구
1043	0.5479	-0.6007	1	203	120.2936	43_북극 동물성 플랑크톤  및 식물성 플랑크톤의 섭식 및 생태 연구
1044	0.4133	0.4547	4	203	90.2586	44_기후변화에 대응한 북극 원주민 공동체의 적응에 대한 조사 및 관리방안 연구
1045	-0.8118	0.5681	3	203	83.9125	45_북극 구름 및 대기 측정과 미세물리학 연구
1046	0.8364	0.2346	1	203	70.3715	46_극지지역에서 새로운 미생물의 발견 및 저온성 효소 등의 특성 및 활용에 대한 연구
1047	-0.7427	-0.2285	2	203	131.7471	47_극지 지역에서 페름-트라이아스 대멸종 등 고생대의 전지구적 변동의 증거에 대한 연구
1048	0.7475	-0.1518	1	203	135.7234	48_남극 어류의 다양성과 분자 계통 및 진화 연구
1049	0.5549	0.3381	4	203	76.8974	49_아메리카 원주민(이누이트, 에스키모)의 기원 및 진화 연구
1050	-0.0467	-0.1329	2	203	111.2261	50_극지 생태계 진화 연구
1051	1.0325	-0.04	1	203	88.2734	51_극지지역 절지동물의 저온 적응 기작 연구
1052	-0.2194	-0.1028	5	203	187.8203	52_기후변화로 인한 극지지역 용존유기물질/탄소 변동의 측정과 분석
1053	-0.8919	0.1175	2	203	131.4913	53_영구동토층 암석 빙하 지형학적 분석 및 기후 영향 평가
1054	0.7254	0.0661	1	203	101.4826	54_바이오마커 접근법에 의한 해양 오염 모니터링 및 영향 분석
1055	0.6071	0.0484	1	203	132.2258	55_외래종의 남극 생태계 영향 연구
1056	-0.8453	0.538	3	203	81.2892	56_남반구 기후 변동성 및 지역 기후 모델의 진화
1057	-1.1438	-0.2127	2	203	67.1835	57_극지 지역 희토류 원소 등의 광물자원 분석
1058	0.2253	-0.2609	1	203	183.7242	58_극지 지역 해양산성화 관측과 영향 연구
1059	-0.7424	0.4681	3	203	109.6176	59_남극 진동과 남반구 기후변화 시뮬레이션 및 호주 기후 영향
1060	-1.0753	0.4056	3	203	106.5068	60_중기 순환 모델에 의한 남반구 중력파 특성 규명 및 기후 변동 영향
