id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<cluster size>
0	0	-1.1285	-0.3515	2	203	127.6882	3519
1	1	0.4471	-0.1618	1	203	74.7816	2642
2	2	0.6923	-0.3043	1	203	72.5459	1651
3	3	0.8146	-0.1526	1	203	98.2219	1477
4	4	0.9326	-0.3344	1	203	48.5073	1123
5	5	1.0385	0.2761	1	203	99.4431	1601
6	6	0.6229	-0.0508	1	203	108.298	1895
7	7	0.7771	0.2031	1	203	106.308	2949
8	8	-1.243	0.078	3	203	68.6221	2475
9	9	0.2436	0.0042	1	203	144.9008	1882
10	10	-0.8656	0.3076	3	203	119.081	3723
11	11	0.4468	-0.1909	1	203	123.2272	1689
12	12	0.9228	0.0655	1	203	111.5257	1071
13	13	-0.6225	0.3648	3	203	106.5742	1539
14	14	0.8558	-0.3452	1	203	46.8746	1529
15	15	0.0923	0.4869	4	203	137.928	2554
16	16	1.1663	0.2954	1	203	71.1456	1056
17	17	-0.9342	0.4537	3	203	92.138	2751
18	18	0.8116	0.1925	1	203	116.2965	1316
19	19	-1.1648	-0.3262	2	203	101.1396	1494
20	20	-0.621	-0.2205	2	203	134.1644	1252
21	21	-0.4338	0.2375	3	203	128.6372	1999
22	22	0.9742	0.0662	1	203	70.3452	1413
23	23	0.1141	-0.3947	2	203	93.4272	958
24	24	-0.5472	-0.0985	2	203	173.4844	2382
25	25	-0.2001	0.6818	4	203	111.2396	2690
26	26	-0.3878	-0.1083	2	203	170.7893	2260
27	27	1.0386	-0.5923	1	203	18.142	646
28	28	0.999	-0.5605	1	203	26.7223	812
29	29	-1.161	-0.1951	2	203	133.8975	1471
30	30	0.7813	0.3487	1	203	133.9562	1341
31	31	0.7512	0.4621	1	203	106.4717	1359
32	32	0.9662	0.2174	1	203	106.2398	1774
33	33	-0.8378	0.3818	3	203	115.5882	2179
34	34	-0.8154	-0.1098	2	203	165.1541	1549
35	35	-1.0675	-0.2686	2	203	86.0533	1255
36	36	-0.5219	-0.2576	2	203	168.5498	1566
37	37	0.6781	0.4383	1	203	129.5241	837
38	38	1.0018	0.0468	1	203	96.9177	804
39	39	-0.8802	-0.3934	2	203	133.1412	2571
40	40	0.7307	0.2722	1	203	131.5344	1319
41	41	0.5147	0.3785	1	203	133.6912	1194
42	42	-1.0152	-0.3318	2	203	122.579	1216
43	43	0.553	0.6077	1	203	120.2936	1723
44	44	0.4026	-0.3565	1	203	90.2586	1029
45	45	-0.9007	0.5186	3	203	83.9125	1484
46	46	0.8206	-0.2779	1	203	70.3715	714
47	47	-0.6539	-0.4641	2	203	131.7471	731
48	48	0.7544	0.1253	1	203	135.7234	1033
49	49	0.5415	-0.3931	1	203	76.8974	558
50	50	-0.0475	-0.322	2	203	111.2261	578
51	51	1.0234	-0.0015	1	203	88.2734	758
52	52	-0.2293	0.1614	4	203	187.8203	1068
53	53	-0.8058	-0.3888	2	203	131.4913	1461
54	54	0.7162	0.0332	1	203	101.4826	546
55	55	0.6075	-0.1052	1	203	132.2258	893
56	56	-0.9073	0.5709	3	203	81.2892	1562
57	57	-1.0777	-0.4004	2	203	67.1835	924
58	58	0.2217	0.2408	1	203	183.7242	906
59	59	-0.8238	0.4407	3	203	109.6176	1767
60	60	-1.1187	0.3103	3	203	106.5068	1345
61	61	-0.4205	0.0476	2	203	175.2546	2079
62	62	0.8998	-0.5367	1	203	35.1117	535
63	63	-0.1834	0.0243	2	203	185.8518	817
64	64	-0.6575	-0.3976	2	203	137.5435	677
65	65	-0.8302	0.1124	3	203	157.6031	965
66	66	0.5541	0.4821	1	203	140.0259	817
67	67	-0.5396	0.5184	4	203	144.6186	2691
68	68	0.5826	-0.2654	1	203	87.92	593
69	69	-0.748	-0.2445	2	203	156.3583	689
70	70	0.0897	0.0285	1	203	178.625	1060
71	71	0.5921	0.5416	1	203	128.2879	1360
72	72	-0.7704	-0.091	2	203	157.5925	2401
73	73	0.9705	0.425	1	203	107.4083	690
74	74	0.8447	0.0223	1	203	105.4382	692
75	75	0.4113	0.162	1	203	141.209	604
76	76	-1.1652	0.1423	3	203	20.2777	413
77	77	-1.1598	0.1062	3	203	90.5548	907
78	78	-1.1623	-0.2284	2	203	107.5747	676
79	79	-0.7543	0.0762	3	203	149.5615	901
80	80	-0.7295	-0.3461	2	203	157.776	1198
81	81	1.1168	-0.0151	1	203	68.5771	395
82	82	-0.2502	0.6711	4	203	115.7026	1674
83	83	0.9033	-0.2363	1	203	73.6219	386
84	84	0.3288	0.6334	4	203	121.147	1245
85	85	-0.6306	-0.0539	2	203	170.0101	2388
86	86	-0.0584	-0.0644	3	203	168.4908	788
87	87	-0.9253	-0.2083	2	203	125.8107	654
88	88	-0.4488	-0.0304	3	203	162.3316	874
89	89	0.9077	-0.1703	1	203	76.3291	278
90	90	-0.6578	0.3003	3	203	116.0884	915
91	91	1.0266	0.1446	1	203	59.4184	462
92	92	-0.8314	-0.4647	2	203	105.2328	458
93	93	-0.1421	-0.0596	3	203	166.7274	707
94	94	0.4364	-0.2514	1	203	101.4404	515
95	95	-0.435	-0.1747	2	203	168.8218	1189
96	96	1.0027	-0.6129	1	203	17.8067	464
97	97	0.9164	-0.0675	1	203	57.3054	400
98	98	-0.2387	-0.3774	2	203	92.461	377
99	99	0.2736	0.5821	4	203	126.9515	738
100	100	1.0017	-0.5759	1	203	18.8209	260
101	101	-0.8628	0.2747	3	203	130.8066	794
102	102	-0.1527	-0.1961	2	203	194.3717	1025
103	103	-1.112	-0.1842	2	203	134.6635	692
104	104	0.3123	0.2885	1	203	173.665	629
105	105	0.0784	-0.4387	1	203	55.574	704
106	106	0.551	0.4001	1	203	147.8877	462
107	107	-0.6722	0.0301	2	203	160.7242	1373
108	108	0.8805	-0.3109	1	203	61.1883	223
109	109	0.6497	0.1643	1	203	130.5689	735
110	110	-0.9643	0.1297	3	203	114.9434	604
111	111	-0.5704	-0.4163	2	203	148.616	691
112	112	0.903	0.2742	1	203	126.9719	341
