id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<number of doc>	weight<degree centrality>	weight<closeness centrality>	weight<betweenness centrality>	weight<pagerank centrality>	score<number of doc>	score<degree centrality>	score<closeness centrality>	score<betweenness centrality>	score<pagerank centrality>
AAD	0.2934	-0.3133	7	134	9522	2217	134	0.00166112956810631	652.851266966039	0.00495638163728237	2217	134	0.00166112956810631	652.851266966039	0.00495638163728237
AARI	-0.892	0.1743	11	68	3610	1017	68	0.00149700598802395	199.860272679173	0.00272827739786857	1017	68	0.00149700598802395	199.860272679173	0.00272827739786857
AP Karpinsky Russian Geol Res Inst	-1.9313	0.1821	11	8	642	318	8	0.00122249388753056	1.83347258515698	0.000785117163908437	318	8	0.00122249388753056	1.83347258515698	0.000785117163908437
AWI	-0.1159	-0.3269	4	323	47800	10437	323	0.00242130750605327	11240.4212621614	0.0125435816896778	10437	323	0.00242130750605327	11240.4212621614	0.0125435816896778
Aarhus Univ	-0.5199	0.335	2	173	12752	2436	173	0.00177619893428064	1446.30062726886	0.0063652406199717	2436	173	0.00177619893428064	1446.30062726886	0.0063652406199717
Aberystwyth Univ	-0.6896	-0.2741	3	47	2414	596	47	0.00144092219020173	29.3031569888659	0.00193317829859893	596	47	0.00144092219020173	29.3031569888659	0.00193317829859893
Acad Sci Czech Republ	-1.1268	-0.7574	10	8	976	321	8	0.0013531799729364	0.704849156541183	0.000713039600586554	321	8	0.0013531799729364	0.704849156541183	0.000713039600586554
Aix Marseille Univ	-0.1738	-0.6669	5	68	3298	646	68	0.00149700598802395	92.2264813588297	0.00264010520720487	646	68	0.00149700598802395	92.2264813588297	0.00264010520720487
Akvaplan Niva AS	-1.1872	0.1529	2	20	1494	368	20	0.00137931034482759	8.7920215401556	0.00112270410863663	368	20	0.00137931034482759	8.7920215401556	0.00112270410863663
Alaska Dept Fish & Game	0.4348	0.926	1	13	906	391	13	0.00129366106080207	1.76467466614732	0.000852794113316703	391	13	0.00129366106080207	1.76467466614732	0.000852794113316703
Antarctic Climate & Ecosyst Cooperat Res Ctr	0.4832	-0.3599	7	62	3338	431	62	0.0014792899408284	22.2652402411666	0.00234332597309452	431	62	0.0014792899408284	22.2652402411666	0.00234332597309452
Arizona State Univ	0.681	0.3371	1	31	932	367	31	0.00141643059490085	6.99134742206371	0.00139143687862398	367	31	0.00141643059490085	6.99134742206371	0.00139143687862398
Australian Natl Univ	0.2298	-0.4575	7	98	4304	1096	98	0.00156739811912226	188.642469477832	0.00360285573466436	1096	98	0.00156739811912226	188.642469477832	0.00360285573466436
BAS	-0.1808	-0.2005	3	271	28188	6641	271	0.0021505376344086	4518.29969069259	0.00995331170714824	6641	271	0.0021505376344086	4518.29969069259	0.00995331170714824
Bangor Univ	-0.6621	-0.3021	3	25	968	317	25	0.00138504155124654	6.73888432271019	0.00120999065870047	317	25	0.00138504155124654	6.73888432271019	0.00120999065870047
Beijing Normal Univ	0.967	-0.2483	8	33	1444	425	33	0.00141043723554302	65.4702502633071	0.00168975877984848	425	33	0.00141043723554302	65.4702502633071	0.00168975877984848
Bjerknes Ctr Climate Res	-0.3375	-0.1339	2	109	7960	1108	109	0.00159489633173844	308.163912340152	0.00400396143055327	1108	109	0.00159489633173844	308.163912340152	0.00400396143055327
Boston Univ	0.5109	0.2771	1	25	834	339	25	0.0013869625520111	8.9219943234383	0.00122466738687631	339	25	0.0013869625520111	8.9219943234383	0.00122466738687631
British Geol Survey	-0.529	-0.1915	3	59	3128	760	59	0.00147710487444609	66.6438502177529	0.00235616247374479	760	59	0.00147710487444609	66.6438502177529	0.00235616247374479
Brown Univ	0.658	0.2704	1	28	974	423	28	0.00140056022408964	5.50970537562615	0.00130037271823648	423	28	0.00140056022408964	5.50970537562615	0.00130037271823648
Bureau of Meteorology - Australia	0.4524	-0.3453	7	38	1568	298	38	0.0014265335235378	5.86669320613266	0.00159999251981767	298	38	0.0014265335235378	5.86669320613266	0.00159999251981767
CALTECH	0.326	0.1122	1	182	13126	2024	182	0.00180505415162455	862.437531909456	0.00638393549895177	2024	182	0.00180505415162455	862.437531909456	0.00638393549895177
CEA - France	0.0383	-0.3518	5	164	12126	1398	164	0.00174825174825175	797.967788939694	0.00585796711794344	1398	164	0.00174825174825175	797.967788939694	0.00585796711794344
CNRS	-0.1253	-0.3185	5	316	39158	5796	316	0.00238095238095238	8200.37565384962	0.0119144543304309	5796	316	0.00238095238095238	8200.37565384962	0.0119144543304309
CONICET	-0.3464	-1.3486	10	54	3322	1541	54	0.00146627565982405	90.9988849320659	0.00228893940495169	1541	54	0.00146627565982405	90.9988849320659	0.00228893940495169
CSIC	-0.2074	-0.5396	7	201	10454	1818	201	0.00186915887850467	1716.9681153012	0.00728695957814225	1818	201	0.00186915887850467	1716.9681153012	0.00728695957814225
CSIRO	0.2835	-0.2644	7	166	11120	1539	166	0.00175438596491228	764.799402526308	0.00589329279380787	1539	166	0.00175438596491228	764.799402526308	0.00589329279380787
California State Univ	0.4187	0.3232	1	61	2576	643	61	0.00148148148148148	49.6288120501937	0.00235183667399793	643	61	0.00148148148148148	49.6288120501937	0.00235183667399793
Canadian Wildlife Serv	-0.4046	0.9664	6	43	4138	931	43	0.00142247510668563	45.7374823951542	0.00190920519158302	931	43	0.00142247510668563	45.7374823951542	0.00190920519158302
Cardiff Univ	-0.4041	-0.3096	3	50	1846	487	50	0.00144927536231884	36.3356976918172	0.00201796052910912	487	50	0.00144927536231884	36.3356976918172	0.00201796052910912
Carl von Ossietzky Univ Oldenburg	-0.5	-0.569	4	14	850	398	14	0.00133689839572193	5.40175632676842	0.000923287930512079	398	14	0.00133689839572193	5.40175632676842	0.000923287930512079
Carleton Univ	-0.4178	0.9682	6	40	2868	821	40	0.00140646976090014	38.0323311313578	0.00180706607841452	821	40	0.00140646976090014	38.0323311313578	0.00180706607841452
Charles Univ Prague	-1.0346	-0.6954	10	25	1114	359	25	0.00138312586445367	15.673103179198	0.00129704270523245	359	25	0.00138312586445367	15.673103179198	0.00129704270523245
China Meteorol Adm	1.3876	-0.417	8	17	922	298	17	0.00133333333333333	10.4089309961909	0.00110428150184787	298	17	0.00133333333333333	10.4089309961909	0.00110428150184787
China Univ Geosci	1.1626	-0.4252	8	11	474	369	11	0.00132275132275132	17.1443746940182	0.000911834862471422	369	11	0.00132275132275132	17.1443746940182	0.000911834862471422
Chinese Acad Sci	1.0643	-0.3121	8	216	20016	4875	216	0.00192307692307692	3816.62295026951	0.00821072505173389	4875	216	0.00192307692307692	3816.62295026951	0.00821072505173389
City Univ New York	0.5462	-0.0623	1	54	1748	325	54	0.00146627565982405	80.3124885614198	0.00216708116070885	325	54	0.00146627565982405	80.3124885614198	0.00216708116070885
Cold & Arid Reg Environm & Engn Res Inst - Chinese Acad Sci	1.4988	-0.4689	8	24	2908	843	24	0.00139275766016713	55.7058589605056	0.00139836704128935	843	24	0.00139275766016713	55.7058589605056	0.00139836704128935
Cold Reg Res & Engn Lab CRREL	0.7367	0.4245	1	45	2168	594	45	0.00143884892086331	13.4659749707214	0.00182606068342534	594	45	0.00143884892086331	13.4659749707214	0.00182606068342534
Colorado State Univ	0.4452	0.3509	1	102	4454	840	102	0.00157728706624606	204.495624077974	0.00370392716245443	840	102	0.00157728706624606	204.495624077974	0.00370392716245443
Columbia Univ	0.4071	-0.102	1	217	16342	2306	217	0.00192678227360308	1630.31248847192	0.00766405340963129	2306	217	0.00192678227360308	1630.31248847192	0.00766405340963129
Complutense University of Madrid	0.07	-0.8277	7	16	1350	385	16	0.00137174211248285	5.76059960093189	0.000968538471321942	385	16	0.00137174211248285	5.76059960093189	0.000968538471321942
Consiglio Nazionale delle Ricerche CNR	0.3207	-0.5913	5	122	6370	1658	122	0.00162866449511401	601.489339818932	0.00464555412814753	1658	122	0.00162866449511401	601.489339818932	0.00464555412814753
Cornell Univ	0.6188	0.3034	1	41	1244	476	41	0.00143472022955524	9.31912412467628	0.00169804235089925	476	41	0.00143472022955524	9.31912412467628	0.00169804235089925
Council of Scientific & Industrial Research CSIR - India	-0.7703	-0.6111	5	13	380	486	13	0.00135869565217391	0.292249392508839	0.000818114035513706	486	13	0.00135869565217391	0.292249392508839	0.000818114035513706
Curtin Univ	0.5159	-0.3175	7	35	1270	412	35	0.00142450142450142	28.4107213711179	0.00156859022716701	412	35	0.00142450142450142	28.4107213711179	0.00156859022716701
Czech Acad Sci	-1.0929	-0.7334	10	20	1550	567	20	0.00138888888888889	9.21501304715421	0.00112078828660665	567	20	0.00138888888888889	9.21501304715421	0.00112078828660665
Dalhousie Univ	-0.2554	0.8115	6	77	3590	897	77	0.00151285930408472	97.3358521659041	0.0029075500786968	897	77	0.00151285930408472	97.3358521659041	0.0029075500786968
Danish Meteorol Inst	-0.0378	0.0908	2	90	3652	490	90	0.00154320987654321	116.032906607157	0.0032920172908799	490	90	0.00154320987654321	116.032906607157	0.0032920172908799
Dartmouth Coll	0.6931	0.391	1	45	1826	468	45	0.00144508670520231	11.1904036014515	0.00182400110559575	468	45	0.00144508670520231	11.1904036014515	0.00182400110559575
Desert Research Institute NSHE	0.7878	0.339	1	45	2182	404	45	0.00144300144300144	11.1357154275885	0.00182560378614353	404	45	0.00144300144300144	11.1357154275885	0.00182560378614353
Duke Univ	0.7884	0.2609	1	26	832	372	26	0.0013986013986014	0.473151554883545	0.00120647760737679	372	26	0.0013986013986014	0.473151554883545	0.00120647760737679
Durham Univ	-0.5042	-0.1321	3	81	3864	971	81	0.00152439024390244	98.1977247413626	0.003016044704082	971	81	0.00152439024390244	98.1977247413626	0.003016044704082
ETH Zurich	-0.07	-0.1562	4	155	8800	1572	155	0.00172117039586919	518.301096013023	0.00544206935840589	1572	155	0.00172117039586919	518.301096013023	0.00544206935840589
Eberhard Karis Univ Tubingen	-0.0537	-0.7083	4	10	350	290	10	0.00134048257372654	0.539275047632699	0.000730169298585623	290	10	0.00134048257372654	0.539275047632699	0.000730169298585623
Environm Climate Change Canada	-0.193	0.624	6	178	13792	2275	178	0.0017921146953405	1232.6362625693	0.00636264439322997	2275	178	0.0017921146953405	1232.6362625693	0.00636264439322997
Finnish Meteorol Inst	-0.3396	0.0859	2	112	5824	983	112	0.0016025641025641	263.351530073308	0.00405441246706745	983	112	0.0016025641025641	263.351530073308	0.00405441246706745
Fisheries & Oceans Canada	-0.2855	0.7317	6	117	8816	2477	117	0.00161550888529887	533.913743897399	0.00439228258498901	2477	117	0.00161550888529887	533.913743897399	0.00439228258498901
Fisheries Research Agency - Japan	-0.3183	0.8412	9	15	858	385	15	0.00136986301369863	3.57595274487031	0.000907794166500547	385	15	0.00136986301369863	3.57595274487031	0.000907794166500547
Florida State Univ	0.6636	-0.0302	1	68	2696	503	68	0.00149700598802395	70.6853204187038	0.00259374176889867	503	68	0.00149700598802395	70.6853204187038	0.00259374176889867
Free Univ Berlin	0.3088	-0.4097	4	40	1858	518	40	0.0014367816091954	34.1881437881604	0.001743208153211	518	40	0.0014367816091954	34.1881437881604	0.001743208153211
GEOMAR Helmholtz Ctr Ocean Res Kiel	-0.2651	-0.2609	4	166	12164	1753	166	0.00175438596491228	1098.11426302587	0.00605476010154048	1753	166	0.00175438596491228	1098.11426302587	0.00605476010154048
GFZ German Res Ctr Geosci	0.0115	-0.43	4	58	2906	794	58	0.00147492625368732	198.181486942985	0.00242557185319218	794	58	0.00147492625368732	198.181486942985	0.00242557185319218
GNS Science - New Zealand	0.4706	-0.3473	7	41	1776	406	41	0.00142857142857143	31.4319612824426	0.00176019455029533	406	41	0.00142857142857143	31.4319612824426	0.00176019455029533
Geol Inst - RAS	-1.8311	0.1621	11	13	2438	896	13	0.00134589502018843	19.8117628823461	0.00102488075734126	896	13	0.00134589502018843	19.8117628823461	0.00102488075734126
Geol Survey Canada	-0.3316	0.925	6	73	3948	1414	73	0.00150829562594269	109.786669355781	0.00280054153487832	1414	73	0.00150829562594269	109.786669355781	0.00280054153487832
Geol Survey Denmark & Greenland	-0.4347	-0.0119	2	86	4460	1227	86	0.00153609831029186	102.922970436074	0.00316105207767944	1227	86	0.00153609831029186	102.922970436074	0.00316105207767944
Geol Survey Norway	-1.0025	0.1021	2	29	1590	710	29	0.00140056022408964	35.8487613855319	0.00141405637846408	710	29	0.00140056022408964	35.8487613855319	0.00141405637846408
Georgia Inst Technol	0.4352	0.0989	1	61	2718	460	61	0.00147710487444609	29.674823084886	0.00232357067778964	460	61	0.00147710487444609	29.674823084886	0.00232357067778964
German Aerosp Ctr	-0.0255	-0.1256	4	65	3222	596	65	0.00148809523809524	65.6899923857378	0.0025289637876108	596	65	0.00148809523809524	65.6899923857378	0.0025289637876108
Ghent University	-0.2949	-0.6152	10	78	3696	534	78	0.00151975683890578	141.480354656793	0.00298919334980794	534	78	0.00151975683890578	141.480354656793	0.00298919334980794
Goethe Univ Frankfurt	-0.2734	-0.4354	4	31	1282	328	31	0.00141242937853107	5.93167609612373	0.00139336241516318	328	31	0.00141242937853107	5.93167609612373	0.00139336241516318
Grad Univ Adv Studies - Japan	0.4681	1.1568	9	14	1604	404	14	0.00134589502018843	4.33494197694462	0.000916093780333757	404	14	0.00134589502018843	4.33494197694462	0.000916093780333757
Greenland Inst Nat Resources	-0.5233	0.6326	2	42	3166	656	42	0.00142450142450142	56.7184170787849	0.00186061653541533	656	42	0.00142450142450142	56.7184170787849	0.00186061653541533
Hadley Ctr - UK	0.0928	-0.0315	3	94	5144	542	94	0.00155763239875389	129.186335830265	0.00341745628864229	542	94	0.00155763239875389	129.186335830265	0.00341745628864229
Harvard Univ	0.3775	0.3162	1	92	4678	1047	92	0.0015527950310559	114.116643296804	0.00333444272792753	1047	92	0.0015527950310559	114.116643296804	0.00333444272792753
Heidelberg Univ	-0.0965	-0.6472	4	45	2522	395	45	0.00144508670520231	19.3054399824498	0.00184969970471637	395	45	0.00144508670520231	19.3054399824498	0.00184969970471637
Helmholtz-Zentrum Geesthacht - Ctr Materials & Coastal Research	-0.2641	-0.4958	4	27	1148	336	27	0.00140845070422535	11.3817950497183	0.00129498361165985	336	27	0.00140845070422535	11.3817950497183	0.00129498361165985
Hokkaido Univ	0.2209	0.8966	9	75	6092	1800	75	0.00151285930408472	141.030205173877	0.00289520279084201	1800	75	0.00151285930408472	141.030205173877	0.00289520279084201
IFREMER	-0.4216	-0.5641	5	61	3214	627	61	0.00147492625368732	50.5426712189649	0.00239288693538341	627	61	0.00147492625368732	50.5426712189649	0.00239288693538341
INRAE - France	-0.6493	-0.4401	5	15	584	306	15	0.00136239782016349	4.26761545788071	0.00090294721278442	306	15	0.00136239782016349	4.26761545788071	0.00090294721278442
Imperial Coll London	-0.0239	-0.0934	3	104	4854	603	104	0.00158227848101266	162.606713837965	0.00372190415769521	603	104	0.00158227848101266	162.606713837965	0.00372190415769521
Inst Antartico Argentino	-0.3908	-1.4622	10	10	1082	476	10	0.00135135135135135	0.891133628971586	0.000748684641930109	476	10	0.00135135135135135	0.891133628971586	0.000748684641930109
Inst Atmospher Phys - Chinese Acad Sci	1.2265	-0.383	8	45	4064	818	45	0.00144508670520231	167.567146550618	0.00218663606624735	818	45	0.00144508670520231	167.567146550618	0.00218663606624735
Inst Ecology & Environment - CNRS	-0.4376	-0.6406	5	91	5488	922	91	0.00155038759689922	213.626503354114	0.00346326291018238	922	91	0.00155038759689922	213.626503354114	0.00346326291018238
Inst Geol & Geophys - Chinese Acad Sci	1.4123	-0.4427	8	10	1010	322	10	0.00114025085518814	4.68737373737374	0.000954249947070779	322	10	0.00114025085518814	4.68737373737374	0.000954249947070779
Inst Marine Sci ICM - CSIC	-0.4317	-0.769	7	28	1752	441	28	0.00139470013947001	7.14934702703741	0.00130728199536172	441	28	0.00139470013947001	7.14934702703741	0.00130728199536172
Inst Oceanol - Polish Acad Sci	-0.9921	-0.1191	2	34	2528	558	34	0.00141843971631206	8.01346929705679	0.00150160745758362	558	34	0.00141843971631206	8.01346929705679	0.00150160745758362
