id	x	y	cluster	weight<Links>	weight<Total link strength>
AAD	0.1227	0.201	16	56	3570
AARI	-1.0997	0.6413	10	8	290
AP Karpinsky Russian Geol Res Inst	-1.5223	0.7937	10	2	56
AWI	-0.3982	0.0185	7	102	5400
Aberystwyth Univ	-0.4025	-0.4506	2	4	138
Aix Marseille Univ	-0.3728	0.348	6	7	254
Antarctic Climate & Ecosyst Cooperat Res Ctr	0.0168	0.3005	16	12	996
Arizona State Univ	0.5496	-0.1048	1	1	22
Australian Natl Univ	-0.0262	0.0237	14	16	584
BAS	-0.3726	-0.4604	4	136	8914
Bangor Univ	-0.4246	-0.4488	2	3	120
Beijing Normal Univ	2.8614	0.284	11	1	20
Bjerknes Ctr Climate Res	-0.4914	-0.1595	9	3	190
British Geol Survey	-0.2867	-0.436	2	7	380
Bureau of Meteorology - Australia	0.0742	0.3058	16	3	138
CALTECH	0.4819	-0.263	1	20	844
CEA - France	-0.414	0.34	12	24	1060
CNRS	-0.4833	0.4066	6	71	4784
CONICET	-0.8254	-0.6229	8	9	858
CSIC	-0.4081	-0.3774	8	25	1120
CSIRO	0.0173	0.2288	16	26	1852
California State Univ	0.321	-0.0488	13	4	98
Cardiff Univ	-0.1226	-0.4439	2	2	76
Carl von Ossietzky Univ Oldenburg	-0.3457	0.1276	7	2	118
Chinese Acad Sci	2.8282	0.2808	11	13	584
City Univ New York	0.3149	-0.0369	3	2	52
Cold & Arid Reg Environm & Engn Res Inst - Chinese Acad Sci	2.8646	0.2868	11	2	90
Cold Reg Res & Engn Lab CRREL	0.3908	-0.0771	1	1	28
Colorado State Univ	0.5209	-0.1003	1	7	322
Columbia Univ	0.4008	-0.0566	3	52	2324
Complutense University of Madrid	-0.0939	-0.1096	14	4	210
Consiglio Nazionale delle Ricerche CNR	-0.2124	0.2125	5	13	670
Curtin Univ	0.1256	0.32	16	2	46
Dartmouth Coll	0.5408	-0.1036	1	6	214
Desert Research Institute NSHE	0.537	-0.115	1	15	552
Duke Univ	0.5693	-0.084	3	2	44
Durham Univ	-0.2014	-0.4684	2	13	492
ETH Zurich	-0.0012	-0.0012	3	6	216
Fisheries Research Agency - Japan	0.7917	-0.0404	3	2	46
Florida State Univ	-0.012	-0.0516	5	5	112
Free Univ Berlin	-1.2765	0.0203	7	1	22
GEOMAR Helmholtz Ctr Ocean Res Kiel	-0.0443	-0.1236	14	8	286
GFZ German Res Ctr Geosci	-1.2732	0.0203	7	2	62
GNS Science - New Zealand	0.0794	-0.008	5	17	734
Geol Inst - RAS	-1.505	0.7843	10	1	24
Ghent University	-0.3501	-0.6673	2	4	372
Goethe Univ Frankfurt	-0.2096	-0.1723	9	2	40
Grad Univ Adv Studies - Japan	-0.0505	0.6375	15	5	306
Heidelberg Univ	-0.4496	0.1667	12	5	202
Hokkaido Univ	-0.0405	0.5957	15	9	518
IFREMER	-0.473	0.5065	6	3	132
INRAE - France	-0.6368	0.5714	6	1	34
Imperial Coll London	0.0142	-0.2234	2	19	606
Inst Antartico Argentino	-0.8235	-0.6059	8	8	758
Inst Atmospher Phys - Chinese Acad Sci	2.8617	0.2844	11	1	56
Inst Ecology & Environment - CNRS	-0.3336	0.4171	6	11	676
Inst Geol & Geophys - Chinese Acad Sci	2.8622	0.2836	11	1	80
Inst Marine Sci ICM - CSIC	-0.5287	-0.4746	8	5	412
Inst Oceanol - Polish Acad Sci	-0.6685	-0.6463	8	2	78
Inst Tibetan Plateau Research - Chinese Acad Sci	2.8616	0.2835	11	1	32
Ist Nazl Geofis & Vulcanol	-0.0435	0.0506	5	10	280
JAMSTEC	0.0069	0.3475	15	13	398
KIOST	0.1619	0.8577	7	2	178
KOPRI	0.1544	0.829	7	10	446
KU Louvain	-0.3351	0.3511	12	5	112
Kyoto Univ	-0.0955	0.7823	15	2	70
Kyushu Univ	-0.0948	0.7495	15	1	48
Laboratoire dEtudes en Geophysique et oceanographie spatiales - CNRS	-0.4713	0.5474	6	4	206
Lamont Doherty Earth Observ	0.5083	-0.0588	3	2	174
Lancaster Univ	-0.6308	-0.8353	4	1	34
Lawrence Berkeley Natl Lab	0.5364	-0.0913	1	1	32
Lomonosov Moscow State Univ	-1.513	0.7875	10	2	92
Louisiana State Univ	0.5662	-0.1376	1	1	32
MIT	0.6241	-0.0824	3	3	120
Macquarie Univ	-0.0968	0.2164	16	8	452
Marine Biol Lab - US	0.6121	-0.102	3	1	54
Max Planck Inst Marine Microbiol	-0.0674	0.0588	3	1	24
Max Planck Society	-0.0664	0.0567	3	9	252
McGill Univ	0.6713	-0.1836	1	2	54
Met Office - UK	-0.6056	-0.8471	4	1	26
Monash Univ	0.0041	0.1112	14	4	116
Montana State Univ	0.5597	-0.1358	1	5	154
Museum Natl Hist Nat - France	-0.3359	0.3768	6	12	668
NASA	0.5637	-0.1527	1	31	1258
NCAR	0.5677	-0.0744	1	6	172
NERC National Oceanography Centre	-0.071	-0.2019	4	47	2478
