id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<number of doc>	weight<degree centrality>	weight<closeness centrality>	weight<betweenness centrality>	weight<pagerank centrality>	score<number of doc>	score<degree centrality>	score<closeness centrality>	score<betweenness centrality>	score<pagerank centrality>
AAD	0.1227	0.201	16	56	3570	1666	112	0.002	2154.64910743534	0.0198718677344071	1666	112	0.002	2154.64910743534	0.0198718677344071
AARI	-1.0997	0.6413	10	8	290	917	16	0.0016750418760469	185.190602469856	0.00366863006835733	917	16	0.0016750418760469	185.190602469856	0.00366863006835733
AP Karpinsky Russian Geol Res Inst	-1.5223	0.7937	10	2	56	479	4	0.00114155251141553	0	0.00189486410274079	479	4	0.00114155251141553	0	0.00189486410274079
AWI	-0.3982	0.0185	7	102	5400	6974	204	0.00230414746543779	7473.67539742422	0.0391582863337164	6974	204	0.00230414746543779	7473.67539742422	0.0391582863337164
Aberystwyth Univ	-0.4025	-0.4506	2	4	138	617	8	0.00150602409638554	14.0541087567403	0.00225814329328061	617	8	0.00150602409638554	14.0541087567403	0.00225814329328061
Aix Marseille Univ	-0.3728	0.348	6	7	254	387	14	0.00151285930408472	1.34935064935065	0.00274298117260516	387	14	0.00151285930408472	1.34935064935065	0.00274298117260516
Antarctic Climate & Ecosyst Cooperat Res Ctr	0.0168	0.3005	16	12	996	440	24	0.00173611111111111	26.7041950029682	0.00426517339185819	440	24	0.00173611111111111	26.7041950029682	0.00426517339185819
Arizona State Univ	0.5496	-0.1048	1	1	22	173	2	0.00099009900990099	0	0.000991426890588852	173	2	0.00099009900990099	0	0.000991426890588852
Australian Natl Univ	-0.0262	0.0237	14	16	584	799	32	0.00169204737732657	299.562192543799	0.00611230028394601	799	32	0.00169204737732657	299.562192543799	0.00611230028394601
BAS	-0.3726	-0.4604	4	136	8914	5607	272	0.00245098039215686	11675.4616775593	0.0544296627776611	5607	272	0.00245098039215686	11675.4616775593	0.0544296627776611
Bangor Univ	-0.4246	-0.4488	2	3	120	225	6	0.00159235668789809	12.2945849472165	0.001771897361253	225	6	0.00159235668789809	12.2945849472165	0.001771897361253
Beijing Normal Univ	2.8614	0.284	11	1	20	211	2	0.00111358574610245	0	0.00130391685460158	211	2	0.00111358574610245	0	0.00130391685460158
Bjerknes Ctr Climate Res	-0.4914	-0.1595	9	3	190	1218	6	0.00159235668789809	0	0.00163565227198516	1218	6	0.00159235668789809	0	0.00163565227198516
British Geol Survey	-0.2867	-0.436	2	7	380	561	14	0.00151745068285281	7.66978021978022	0.00314296815451659	561	14	0.00151745068285281	7.66978021978022	0.00314296815451659
Bureau of Meteorology - Australia	0.0742	0.3058	16	3	138	153	6	0.00136612021857924	0	0.00146189449939387	153	6	0.00136612021857924	0	0.00146189449939387
CALTECH	0.4819	-0.263	1	20	844	1605	40	0.00179856115107914	519.526442990307	0.00737365700314121	1605	40	0.00179856115107914	519.526442990307	0.00737365700314121
CEA - France	-0.414	0.34	12	24	1060	921	48	0.00176991150442478	155.236928138048	0.00827198681529674	921	48	0.00176991150442478	155.236928138048	0.00827198681529674
CNRS	-0.4833	0.4066	6	71	4784	3808	142	0.00211416490486258	3559.26903340616	0.0265153911452327	3808	142	0.00211416490486258	3559.26903340616	0.0265153911452327
CONICET	-0.8254	-0.6229	8	9	858	882	18	0.00166666666666667	49.4588227223239	0.00402329459952193	882	18	0.00166666666666667	49.4588227223239	0.00402329459952193
CSIC	-0.4081	-0.3774	8	25	1120	1423	50	0.00177935943060498	532.753019343434	0.00934319472956977	1423	50	0.00177935943060498	532.753019343434	0.00934319472956977
CSIRO	0.0173	0.2288	16	26	1852	883	52	0.00180505415162455	291.40138243034	0.00892943048546062	883	52	0.00180505415162455	291.40138243034	0.00892943048546062
California State Univ	0.321	-0.0488	13	4	98	418	8	0.00132450331125828	0.884057867446492	0.0017088950647196	418	8	0.00132450331125828	0.884057867446492	0.0017088950647196
Cardiff Univ	-0.1226	-0.4439	2	2	76	342	4	0.00149925037481259	0	0.00120285590580295	342	4	0.00149925037481259	0	0.00120285590580295
Carl von Ossietzky Univ Oldenburg	-0.3457	0.1276	7	2	118	316	4	0.00149253731343284	0	0.00120046470057819	316	4	0.00149253731343284	0	0.00120046470057819
Chinese Acad Sci	2.8282	0.2808	11	13	584	1581	26	0.00156739811912226	2173.15620260467	0.0111860835508055	1581	26	0.00156739811912226	2173.15620260467	0.0111860835508055
City Univ New York	0.3149	-0.0369	3	2	52	268	4	0.00132275132275132	0	0.00113930915083934	268	4	0.00132275132275132	0	0.00113930915083934
Cold & Arid Reg Environm & Engn Res Inst - Chinese Acad Sci	2.8646	0.2868	11	2	90	129	4	0.00111482720178372	0	0.00201322596327272	129	4	0.00111482720178372	0	0.00201322596327272
Cold Reg Res & Engn Lab CRREL	0.3908	-0.0771	1	1	28	510	2	0.00118623962040332	0	0.000887192741757539	510	2	0.00118623962040332	0	0.000887192741757539
Colorado State Univ	0.5209	-0.1003	1	7	322	603	14	0.00139275766016713	11.304195222015	0.00273675908037404	603	14	0.00139275766016713	11.304195222015	0.00273675908037404
Columbia Univ	0.4008	-0.0566	3	52	2324	2309	104	0.00196850393700787	1570.98453306769	0.0176583544277121	2309	104	0.00196850393700787	1570.98453306769	0.0176583544277121
Complutense University of Madrid	-0.0939	-0.1096	14	4	210	211	8	0.00125944584382872	1.84753853232114	0.0021625378509322	211	8	0.00125944584382872	1.84753853232114	0.0021625378509322
Consiglio Nazionale delle Ricerche CNR	-0.2124	0.2125	5	13	670	1187	26	0.00169491525423729	441.414392817751	0.00524710088319197	1187	26	0.00169491525423729	441.414392817751	0.00524710088319197
Curtin Univ	0.1256	0.32	16	2	46	316	4	0.00136054421768707	0	0.00116997081044684	316	4	0.00136054421768707	0	0.00116997081044684
Dartmouth Coll	0.5408	-0.1036	1	6	214	444	12	0.00133333333333333	260.968330585823	0.00295699628200198	444	12	0.00133333333333333	260.968330585823	0.00295699628200198
Desert Research Institute NSHE	0.537	-0.115	1	15	552	484	30	0.00164203612479475	180.387221412239	0.00554905857746358	484	30	0.00164203612479475	180.387221412239	0.00554905857746358
Duke Univ	0.5693	-0.084	3	2	44	227	4	0.0013262599469496	0	0.00118860157780745	227	4	0.0013262599469496	0	0.00118860157780745
Durham Univ	-0.2014	-0.4684	2	13	492	971	26	0.00166112956810631	48.6361749247978	0.00509852578980216	971	26	0.00166112956810631	48.6361749247978	0.00509852578980216
ETH Zurich	-0.0012	-0.0012	3	6	216	933	12	0.00163398692810458	6.92250617835767	0.0024346062476342	933	12	0.00163398692810458	6.92250617835767	0.0024346062476342
Fisheries Research Agency - Japan	0.7917	-0.0404	3	2	46	208	4	0.00151515151515152	0	0.0012277132779367	208	4	0.00151515151515152	0	0.0012277132779367
Florida State Univ	-0.012	-0.0516	5	5	112	373	10	0.00152439024390244	5.88522913587657	0.00211122062418109	373	10	0.00152439024390244	5.88522913587657	0.00211122062418109
Free Univ Berlin	-1.2765	0.0203	7	1	22	207	2	0.00105042016806723	0	0.00149436444945902	207	2	0.00105042016806723	0	0.00149436444945902
GEOMAR Helmholtz Ctr Ocean Res Kiel	-0.0443	-0.1236	14	8	286	1491	16	0.00164203612479475	5.95913596207714	0.00312717752817221	1491	16	0.00164203612479475	5.95913596207714	0.00312717752817221
GFZ German Res Ctr Geosci	-1.2732	0.0203	7	2	62	552	4	0.00144508670520231	260	0.00216904791879316	552	4	0.00144508670520231	260	0.00216904791879316
GNS Science - New Zealand	0.0794	-0.008	5	17	734	461	34	0.0017636684303351	86.9022483085683	0.00590784962873826	461	34	0.0017636684303351	86.9022483085683	0.00590784962873826
Geol Inst - RAS	-1.505	0.7843	10	1	24	980	2	0.00114025085518814	0	0.00108954685907656	980	2	0.00114025085518814	0	0.00108954685907656
Ghent University	-0.3501	-0.6673	2	4	372	461	8	0.00159489633173844	0	0.00199668403416713	461	8	0.00159489633173844	0	0.00199668403416713
Goethe Univ Frankfurt	-0.2096	-0.1723	9	2	40	197	4	0.00126262626262626	0	0.00118124122555442	197	4	0.00126262626262626	0	0.00118124122555442
Grad Univ Adv Studies - Japan	-0.0505	0.6375	15	5	306	234	10	0.00138888888888889	5.51866845134974	0.00226294395859165	234	10	0.00138888888888889	5.51866845134974	0.00226294395859165
Heidelberg Univ	-0.4496	0.1667	12	5	202	223	10	0.0016260162601626	0	0.00224515181048237	223	10	0.0016260162601626	0	0.00224515181048237
Hokkaido Univ	-0.0405	0.5957	15	9	518	1229	18	0.00140449438202247	52.1011176932403	0.00374700874775868	1229	18	0.00140449438202247	52.1011176932403	0.00374700874775868
IFREMER	-0.473	0.5065	6	3	132	375	6	0.00143884892086331	0	0.0014900630169857	375	6	0.00143884892086331	0	0.0014900630169857
INRAE - France	-0.6368	0.5714	6	1	34	93	2	0.00136425648021828	0	0.000889956865288189	93	2	0.00136425648021828	0	0.000889956865288189
Imperial Coll London	0.0142	-0.2234	2	19	606	397	38	0.00169779286926995	40.2237192757464	0.00624285527380482	397	38	0.00169779286926995	40.2237192757464	0.00624285527380482
Inst Antartico Argentino	-0.8235	-0.6059	8	8	758	765	16	0.00164473684210526	280.702743025472	0.00400177079148743	765	16	0.00164473684210526	280.702743025472	0.00400177079148743
Inst Atmospher Phys - Chinese Acad Sci	2.8617	0.2844	11	1	56	368	2	0.00111358574610245	0	0.00130391685460158	368	2	0.00111358574610245	0	0.00130391685460158
Inst Ecology & Environment - CNRS	-0.3336	0.4171	6	11	676	643	22	0.00165837479270315	5.45701422446432	0.00401296211036184	643	22	0.00165837479270315	5.45701422446432	0.00401296211036184
Inst Geol & Geophys - Chinese Acad Sci	2.8622	0.2836	11	1	80	153	2	0.00111358574610245	0	0.00130391685460158	153	2	0.00111358574610245	0	0.00130391685460158
Inst Marine Sci ICM - CSIC	-0.5287	-0.4746	8	5	412	450	10	0.00160513643659711	7.21154401154401	0.00241192670554477	450	10	0.00160513643659711	7.21154401154401	0.00241192670554477
Inst Oceanol - Polish Acad Sci	-0.6685	-0.6463	8	2	78	1059	4	0.00108342361863489	0	0.00181462713137215	1059	4	0.00108342361863489	0	0.00181462713137215
Inst Tibetan Plateau Research - Chinese Acad Sci	2.8616	0.2835	11	1	32	68	2	0.00111358574610245	0	0.00130391685460158	68	2	0.00111358574610245	0	0.00130391685460158
Ist Nazl Geofis & Vulcanol	-0.0435	0.0506	5	10	280	367	20	0.0015552099533437	123.253625737697	0.00389339729674996	367	20	0.0015552099533437	123.253625737697	0.00389339729674996
JAMSTEC	0.0069	0.3475	15	13	398	1018	26	0.00170357751277683	75.5655695671064	0.0046753941986738	1018	26	0.00170357751277683	75.5655695671064	0.0046753941986738
KIOST	0.1619	0.8577	7	2	178	408	4	0.001194743130227	0	0.00171088416938147	408	4	0.001194743130227	0	0.00171088416938147
KOPRI	0.1544	0.829	7	10	446	1084	20	0.00173010380622837	567.036592543441	0.00483810956968298	1084	20	0.00173010380622837	567.036592543441	0.00483810956968298
KU Louvain	-0.3351	0.3511	12	5	112	315	10	0.00155038759689922	0.19484126984127	0.00210669384425025	315	10	0.00155038759689922	0.19484126984127	0.00210669384425025
Kyoto Univ	-0.0955	0.7823	15	2	70	239	4	0.00119760479041916	0	0.00164954974500885	239	4	0.00119760479041916	0	0.00164954974500885
Kyushu Univ	-0.0948	0.7495	15	1	48	182	2	0.00119617224880383	0	0.000948491103380337	182	2	0.00119617224880383	0	0.000948491103380337
Laboratoire dEtudes en Geophysique et oceanographie spatiales - CNRS	-0.4713	0.5474	6	4	206	254	8	0.00144300144300144	5.68195808450385	0.00193242095387674	254	8	0.00144300144300144	5.68195808450385	0.00193242095387674
Lamont Doherty Earth Observ	0.5083	-0.0588	3	2	174	330	4	0.0013262599469496	0	0.00118860157780745	330	4	0.0013262599469496	0	0.00118860157780745
Lancaster Univ	-0.6308	-0.8353	4	1	34	312	2	0.00149700598802395	0	0.000912704476332438	312	2	0.00149700598802395	0	0.000912704476332438
Lawrence Berkeley Natl Lab	0.5364	-0.0913	1	1	32	167	2	0.000997008973080758	0	0.00101359433309305	167	2	0.000997008973080758	0	0.00101359433309305
Lomonosov Moscow State Univ	-1.513	0.7875	10	2	92	1478	4	0.00114155251141553	0	0.00169478980665295	1478	4	0.00114155251141553	0	0.00169478980665295
Louisiana State Univ	0.5662	-0.1376	1	1	32	318	2	0.000991080277502478	0	0.00101784168565226	318	2	0.000991080277502478	0	0.00101784168565226
MIT	0.6241	-0.0824	3	3	120	643	6	0.00133155792276964	0	0.00149029667298244	643	6	0.00133155792276964	0	0.00149029667298244
Macquarie Univ	-0.0968	0.2164	16	8	452	465	16	0.00163398692810458	0.545634920634921	0.00305042248230169	465	16	0.00163398692810458	0.545634920634921	0.00305042248230169
Marine Biol Lab - US	0.6121	-0.102	3	1	54	242	2	0.00123304562268804	0	0.000899955399662873	242	2	0.00123304562268804	0	0.000899955399662873
Max Planck Inst Marine Microbiol	-0.0674	0.0588	3	1	24	151	2	0.00112233445566779	0	0.000929543480773044	151	2	0.00112233445566779	0	0.000929543480773044
Max Planck Society	-0.0664	0.0567	3	9	252	1153	18	0.00158478605388273	264.76132763942	0.00378025831907103	1153	18	0.00158478605388273	264.76132763942	0.00378025831907103
McGill Univ	0.6713	-0.1836	1	2	54	1017	4	0.00126422250316056	0	0.00154214087474012	1017	4	0.00126422250316056	0	0.00154214087474012
Met Office - UK	-0.6056	-0.8471	4	1	26	160	2	0.00149700598802395	0	0.000912704476332438	160	2	0.00149700598802395	0	0.000912704476332438
Monash Univ	0.0041	0.1112	14	4	116	254	8	0.00156739811912226	12.6158628091874	0.00190997442236619	254	8	0.00156739811912226	12.6158628091874	0.00190997442236619
Montana State Univ	0.5597	-0.1358	1	5	154	297	10	0.0013351134846462	260	0.00261954471576684	297	10	0.0013351134846462	260	0.00261954471576684
Museum Natl Hist Nat - France	-0.3359	0.3768	6	12	668	462	24	0.00164473684210526	17.215402648607	0.00432110508105264	462	24	0.00164473684210526	17.215402648607	0.00432110508105264
NASA	0.5637	-0.1527	1	31	1258	2239	62	0.0018796992481203	1257.44088963162	0.0114594935166186	2239	62	0.0018796992481203	1257.44088963162	0.0114594935166186
NCAR	0.5677	-0.0744	1	6	172	827	12	0.00141242937853107	0.25	0.00234604173948796	827	12	0.00141242937853107	0.25	0.00234604173948796
NERC National Oceanography Centre	-0.071	-0.2019	4	47	2478	1617	94	0.00191938579654511	909.327144309536	0.0161322217422537	1617	94	0.00191938579654511	909.327144309536	0.0161322217422537
NIPR	-0.0928	0.6959	15	22	1160	1315	44	0.00173611111111111	1376.55836615693	0.00973104050233417	1315	44	0.00173611111111111	1376.55836615693	0.00973104050233417
NOAA	0.8108	0.0146	3	32	1544	4451	64	0.00186915887850467	953.420319954982	0.0118591548839514	4451	64	0.00186915887850467	953.420319954982	0.0118591548839514
NPI	-0.3246	-0.047	9	16	564	2776	32	0.00175438596491228	93.2034295420083	0.00600810055844149	2776	32	0.00175438596491228	93.2034295420083	0.00600810055844149
Nagoya Univ	-0.064	0.6775	15	2	76	374	4	0.00119904076738609	0	0.00130237526289009	374	4	0.00119904076738609	0	0.00130237526289009
Nanjing Univ	2.8657	0.2878	11	2	44	181	4	0.00111482720178372	0	0.00201322596327272	181	4	0.00111482720178372	0	0.00201322596327272
