id	x	y	cluster	weight<Links>	weight<Total link strength>
AAD	-0.2177	0.4988	15	2	72
AARI	-0.7039	-0.0128	12	31	1410
AP Karpinsky Russian Geol Res Inst	-1.5337	-0.0833	12	4	354
AWI	-0.2795	-0.4875	7	140	9580
Aarhus Univ	0.0039	-0.2329	16	79	6594
Aberystwyth Univ	-0.3235	-0.1466	3	19	794
Acad Sci Czech Republ	-0.3713	-0.4817	8	2	178
Aix Marseille Univ	0.1925	-0.5483	5	8	318
Akvaplan Niva AS	-0.5417	-0.275	4	13	942
Alaska Dept Fish & Game	0.7312	0.3738	13	9	644
Antarctic Climate & Ecosyst Cooperat Res Ctr	-0.218	0.4994	15	2	52
Australian Natl Univ	-0.1321	0.0035	15	4	108
BAS	-0.216	-0.0528	3	63	2384
Beijing Normal Univ	-0.6357	0.7006	9	2	72
Bjerknes Ctr Climate Res	-0.4819	0.353	4	43	2790
Boston Univ	0.2234	-0.1173	16	4	114
British Geol Survey	-0.3032	-0.1323	3	13	384
Brown Univ	0.097	0.7081	1	3	72
Bureau of Meteorology - Australia	-0.1212	0.2163	15	1	24
CALTECH	0.3291	0.1563	1	62	2568
CEA - France	0.0664	-0.3581	5	50	2678
CNRS	-0.0357	-0.4188	5	124	8194
CSIC	-0.0595	-0.7946	5	20	804
CSIRO	-0.1154	0.2046	15	19	494
California State Univ	0.4343	0.3403	6	13	398
Canadian Wildlife Serv	0.582	-0.2532	2	26	2174
Cardiff Univ	-0.327	-0.1609	3	7	172
Carl von Ossietzky Univ Oldenburg	-0.2653	-0.2276	3	2	56
Carleton Univ	0.5359	-0.2766	2	22	1404
Charles Univ Prague	-0.3694	-0.4798	8	4	126
China Meteorol Adm	-0.966	1.7927	11	3	110
China Univ Geosci	-0.9208	1.7723	11	1	28
Chinese Acad Sci	-0.8632	1.6604	11	38	2170
City Univ New York	0.1317	0.1405	1	9	284
Cold & Arid Reg Environm & Engn Res Inst - Chinese Acad Sci	-0.9196	1.7735	11	1	80
Cold Reg Res & Engn Lab CRREL	0.4474	0.4293	1	24	956
Colorado State Univ	0.3499	0.3783	1	16	554
