id	label	sublabel	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<no patents>	score<평균출원연도>	weight<특허청 중국>	weight<특허청 WIPO>	weight<특허청 한국>	weight<특허청 미국>	weight<특허청 러시아>	weight<특허청 EPO>	weight<출원인국가 미국>	weight<출원인국가 중국>	weight<출원인국가 대한민국>	weight<출원인국가 독일>	weight<출원인국가 러시아>	weight<출원인국가 칠레>	weight<출원인국가 일본>	weight<출원인기관 DAEWOO>	weight<출원인기관 KIOST>	weight<출원인기관 CONOCOPHILLIPS>	weight<출원인기관 PRIC>	weight<출원인기관 AWI>
A01G	A01G	원예; 채소, 꽃, 쌀, 과일, 포도, 홉(HOPS) 또는 해초의 재배; 임학; 관수	원예; 채소, 꽃, 쌀, 과일, 포도, 홉(HOPS) 또는 해초의 재배; 임학; 관수 (과일, 채소, 홉 등을 따기 A01D46/00; 단세포 조류 번식 C12N1/12)	0.1615	-0.1353	3	11	34	11	2013.727273	1.109057301	1.388888889	0	1.5625	0	0	0	0.628930818	0	0	0	0	0	0	0	0	0	0
A01H	A01H	새로운 식물 또는 그것을 얻기 위한 처리; 조직 배양 기술에 의한 식물 증식	새로운 식물 또는 {비형질 전환} 그것을 얻기 위한 처리; 조직 배양 기술에 의한 식물 증식	1.2002	0.0755	1	5	38	8	2013.25	0	1.388888889	0.746268657	1.5625	0	4.166666667	0	0	0	0	0	14.28571429	0	0	0	0	0	0
A01K	A01K	축산; 조류, 어류, 곤충의 사육; 어업; 달리 분류되지 않는 동물의 사육 또는 번식; 새로운 동물	축산; 조류, 어류, 곤충의 사육; 어업; 달리 분류되지 않는 동물의 사육 또는 번식; 새로운 동물	0.6581	-0.0737	3	11	64	24	2011.833333	2.772643253	2.777777778	0	1.5625	0	1.388888889	2.380952381	1.257861635	0	0	0	0	0	0	0	0	0	0
A01N	A01N	인간이나 동물의 신체 또는 식물 또는 그 일부의 보존; 해충 퇴치제 또는 유인제; 식물 성장 조절제	인간이나 동물의 신체 또는 식물 또는 그 일부의 보존 (식품 또는 식품 보존 A23) 생체 생물, 예. 살균제, 살충제 또는 제초제 (원치 않는 유기체의 성장 또는 증식을 죽이거나 방지하는 의료, 치과 또는 화장실 목적을위한 준비 A61K); 해충 퇴치제 또는 유인제; 식물 성장 조절제	1.0737	0.0507	1	9	54	10	2003.6	0.554528651	1.388888889	1.492537313	0	0	2.777777778	1.785714286	0	1.307189542	0	0	0	0	0	4.255319149	0	0	0
A23B	A23B	식육, 생선, 계란, 과실, 야채, 식용 종자의 보존	식육, 생선, 계란, 과실, 야채, 식용 종자의 보존, 예. 통조림에 의한 것; 과실 또는 채소의 화학적 숙성; 보존 제품, 숙성 제품 또는 통조림 제품	0.9066	-0.1583	3	5	38	11	2017.727273	1.478743068	0	0	1.5625	0	1.388888889	0	1.886792453	0	2.857142857	0	0	0	0	0	0	0	5.263157895
A23D	A23D	식용유 또는 식용 지방	식용유 또는 식용 지방, 예. 마가린, 쇼트닝, 식용유 (동물 사료 A23K10/00-A23K20/30, A23K30/00-A23K50/90; 식용유 또는 지방을 함유한 식품 또는 식료품 A21D, A23C, A23G, A23L; 확보, 정제, 보존 C11B, C11C; 수소화 C11C3/12)	0.9081	-0.0521	7	6	18	8	2016.375	1.293900185	0.694444444	0	0	0	0	0	1.886792453	0	0	0	0	0	0	0	0	0	0
A23J	A23J	식품용 단백질 구성성분;  식품용 단백질 가공;  식품용 인지질 구성성분	식품용 단백질 구성성분;  식품용 단백질 가공;  식품용 인지질 구성성분	1.1921	-0.0271	7	4	14	5	2017.4	0.739371534	0	0.746268657	0	0	0	0	1.886792453	0.653594771	0	0	0	0	0	0	0	0	0
A23K	A23K	사료	사료	0.4488	-0.0633	3	10	96	24	2018.041667	4.251386322	0.694444444	0	0	0	0	0	5.031446541	0	0	0	0	0	0	0	0	2.941176471	0
A23L	A23L	기타 식품, 식료품, 또는 비알콜성음료; 그 조제 또는 처리, 예. 가열 조리, 영양 개선, 물리적 처리; 식품 또는 식료품의 보존, 일반	서브클래스 A23B에서 A23J까지에 포함되지 않는 식품, 식료품, 또는 비알콜성음료; 그 조제 또는 처리, 예. 가열 조리, 영양 개선, 물리적 처리 (이 서브클래스에 완전하게 포함 되지 않는, 식품의 성형 또는 가공 A23P); 식품 또는 식료품의 보존, 일반	1.1163	-0.0477	7	28	336	72	2014.972222	7.208872458	9.027777778	4.47761194	4.6875	0	9.722222222	0	10.6918239	10.45751634	11.42857143	0	0	0	0	34.04255319	0	2.941176471	10.52631579
A23P	A23P	다른 단일 서브클래스에 완전히 포함되지 않는 식품의 성형 또는 가공	다른 단일 서브클래스에 완전히 포함되지 않는 식품의 성형 또는 가공	1.3985	-0.0896	7	2	20	6	2017.833333	1.109057301	0	0	0	0	0	0	0.628930818	0	0	0	0	0	0	0	0	0	0
A23V	A23V	음식, 식품 또는 비알콜 음료에 관계된 참조 분류표	음식, 식품 또는 비알콜 음료에 관계된 참조 분류표	1.1134	-0.0663	7	23	270	59	2014.864407	7.024029575	6.944444444	2.23880597	3.90625	0	4.166666667	0	5.660377358	9.150326797	8.571428571	0	0	0	0	31.91489362	0	2.941176471	5.263157895
A41D	A41D	겉옷;  보호옷;  액세서리	겉옷;  보호옷;  액세서리	-0.1691	0.3529	4	3	10	8	2005	0.184842884	0.694444444	2.23880597	0.78125	0	1.388888889	0.595238095	0	1.307189542	0	0	0	15	0	0	0	0	0
A61K	A61K	의약용, 치과용 또는 화장용 제제	의약용, 치과용 또는 화장용 제제 (약학품을 특정한 물리적 상태 또는 특정한 복용형태로 하기 위한 특수한 장치 또는 방법 A61J3/00; 공기의 탈취, 소독 또는 살균을 위한 물질 또는 붕대, 피복용품, 흡수성 패드 또는 수술용품을 위한 물질의 화학적 측면 혹은 사용 A61L; 비누의 조성 C11D)	1.1596	0.0271	1	20	494	109	2010.522936	6.654343808	22.22222222	5.970149254	7.8125	0.819672131	22.22222222	12.5	5.660377358	17.64705882	5.714285714	4	33.33333333	0	0	57.44680851	0	2.941176471	0
A61P	A61P	화합물 또는 의약품 제제의 특정한 치료효과 	화합물 또는 의약품 제제의 특정한 치료효과 	1.1999	0.0448	1	15	350	72	2010.430556	3.696857671	16.66666667	1.492537313	6.25	0.819672131	16.66666667	5.952380952	5.660377358	14.37908497	5.714285714	12	33.33333333	0	0	53.19148936	0	2.941176471	0
