id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<no patents>	score<평균출원연도>	weight<출원인국가 미국>	weight<출원인국가 중국>	weight<출원인국가 대한민국>	weight<출원인기관 DAEWOO>	weight<출원인기관 KIOST>	weight<출원인기관 CONOCOPHILLIPS>	weight<출원인기관 PRIC>	weight<출원인기관 AWI>
accordance	Accordance	-0.0734	-0.0135	1	55	170	13	2009.307692	0	0	1.960784314	3.174603175	0	0	0	0
acetone	Acetone	-0.4412	0.0134	2	48	222	13	2012.538462	0	4.402515723	0	0	0	0	0	0
acid	Acid	-0.6215	-0.0766	2	51	158	13	2012.846154	0	0.628930818	2.614379085	0	8.510638298	0	0	0
ACID SEQUENCE	Acid Sequence	-0.9324	-0.4846	3	27	322	10	2007.2	2.380952381	0	0.653594771	0	2.127659574	0	0	0
active enzymes	Active Enzymes	-0.7841	-0.3618	3	36	192	7	2009.857143	1.19047619	0.628930818	0	0	0	0	0	0
ACTIVE SUBSTANCE	Active Substance	-0.5829	-0.1463	3	33	90	7	2004.285714	0	0.628930818	0	0	0	0	0	0
ADDING N-HEXANE	Adding N-Hexane	-0.5068	0.0224	2	26	94	5	2013	0	2.51572327	0	0	0	0	0	0
AGITATED ICE PREVENTION	Agitated Ice Prevention	3.172	-0.2132	8	20	200	5	2011	2.380952381	0	0	0	0	10.52631579	0	0
AGITATION	Agitation	3.1208	-0.2155	8	21	190	5	2011	2.380952381	0	0	0	0	10.52631579	0	0
air	Air	0.0707	0.011	1	116	422	28	2010.75	2.380952381	0.628930818	8.496732026	12.6984127	0	0	2.941176471	10.52631579
air condition	Air Condition	0.3077	0.0336	9	20	100	7	2012.571429	0.595238095	0	3.921568627	9.523809524	0	0	0	0
air supply	Air Supply	0.2613	0.0234	9	15	80	6	2013.166667	0.595238095	0	2.614379085	6.349206349	0	0	0	0
alkaline phosphatase	Alkaline Phosphatase	-0.8947	-0.3049	3	18	156	6	2004	2.976190476	0	0	0	0	0	0	0
ALPINUM	Alpinum	-1.0402	-0.0543	5	9	70	8	2014.5	0	0	4.575163399	0	17.0212766	0	0	0
Alzheimer's disease	Alzheimer Disease	-0.674	-0.3147	3	3	18	5	2004.6	0.595238095	0	0	0	0	0	0	0
amino acid	Amino Acid	-0.5475	-0.0521	2	51	158	11	2014.636364	0	3.144654088	0	0	0	0	0	0
amino acid sequence	Amino Acid Sequence	-0.7139	-0.2495	3	37	204	15	2010.066667	1.785714286	1.886792453	1.307189542	0	4.255319149	0	0	0
anchor	Anchor	0.5404	-0.1063	4	38	284	9	2011.444444	2.976190476	0	0	0	0	0	0	0
animal	Animal	-0.4863	-0.2034	6	79	308	12	2004.833333	1.19047619	1.886792453	0.653594771	0	0	0	0	0
animal cell membrane	Animal Cell Membrane	-0.3609	-0.4019	6	22	196	6	1991.166667	2.380952381	0	0	0	0	0	0	0
animal cells	Animal Cells	-0.3603	-0.4025	6	22	196	6	1991.166667	2.380952381	0	0	0	0	0	0	0
Antarctic	Antarctic	-0.1512	0.2248	1	126	748	44	2008.886364	0	3.144654088	3.921568627	0	2.127659574	0	0	0
antarctic bacteria	Antarctic Bacteria	-0.987	-0.525	3	17	162	6	2009.166667	1.19047619	0	0	0	0	0	0	0
antarctic circle	Antarctic Circle	-0.0083	0.0388	1	19	48	6	2009.5	0	1.886792453	0	0	0	0	0	0
Antarctic continent	Antarctic Continent	-0.5373	-0.251	3	15	96	8	2008.875	0	0.628930818	0	0	0	0	0	0
Antarctic Continent Deschampsia Antarctica	Antarctic Continent Deschampsia Antarctica	-0.5869	-0.282	3	8	72	5	2009	0	0	0	0	0	0	0	0
Antarctic fish	Antarctic Fish	-0.3697	-0.3973	6	24	202	8	1995.375	2.976190476	0	0.653594771	0	2.127659574	0	0	0
Antarctic krill	Antarctic Krill	-0.4654	-0.0689	2	203	1898	119	2013.10084	2.380952381	24.52830189	0.653594771	0	0	0	0	0
Antarctic krill Euphausia superba	Antarctic Krill Euphausia Superba	-0.8383	-0.3991	3	31	180	5	2005.8	1.19047619	0.628930818	0	0	0	0	0	0
Antarctic krill meal	Antarctic Krill Meal	-0.5572	-0.0413	2	86	322	22	2016.318182	0	2.51572327	0	0	0	0	0	0
Antarctic krill meat	Antarctic Krill Meat	-0.4301	-0.0646	2	28	60	5	2016.6	0	0.628930818	0.653594771	0	0	0	0	0
Antarctic krill oil	Antarctic Krill Oil	-0.4837	-0.0104	2	109	748	52	2015.326923	0	8.805031447	0	0	0	0	0	0
antarctic krill phospholipid	Antarctic Krill Phospholipid	-0.5084	-0.0217	2	35	92	5	2014.8	0	0.628930818	0	0	0	0	0	0
antarctic krill powder	Antarctic Krill Powder	-0.5193	-0.034	2	159	910	53	2015.358491	0	8.176100629	0	0	0	0	0	0
Antarctic krill protein	Antarctic Krill Protein	-0.4892	-0.004	2	42	120	7	2016.428571	0	1.886792453	0	0	0	0	0	0
Antarctic krill shell	Antarctic Krill Shell	-0.4108	-0.0682	2	36	118	7	2015.714286	0	1.257861635	0	0	0	0	0	0
antarctic lichen	Antarctic Lichen	-1.0751	-0.0596	5	9	84	7	2011.571429	0	0	3.267973856	0	14.89361702	0	0	0
Antarctic lichen Ramalina terebrata	Antarctic Lichen Ramalina Terebrata	-1.4328	0.1194	5	23	332	12	2010.583333	0	0	6.535947712	0	21.27659574	0	0	0
antarctic marine origin	Antarctic Marine Origin	-0.9277	-0.4804	3	27	402	12	2007.416667	2.380952381	0	0	0	0	0	0	0
ANTARCTIC PHOSPHATASE	Antarctic Phosphatase	-0.8954	-0.3042	3	18	156	6	2004	2.976190476	0	0	0	0	0	0	0
Antarctic pole	Antarctic Pole	-0.2243	-0.0634	1	29	60	7	2014.857143	0	0.628930818	0	0	0	0	2.941176471	0
Antarctic region	Antarctic Region	-0.6982	0.0568	5	27	88	7	2011.857143	0	0	1.307189542	0	6.382978723	0	0	0
Antarctica	Antarctica	-0.5596	-0.2546	3	15	90	7	2011.142857	0	0	0	0	0	0	0	0
antifreeze glycopeptide	Antifreeze Glycopeptide	-0.3595	-0.4011	6	22	196	6	1991.166667	2.380952381	0	0	0	0	0	0	0
antifreeze polypeptide	Antifreeze Polypeptide	-0.3595	-0.4023	6	22	196	6	1991.166667	2.380952381	0	0	0	0	0	0	0
antioxidant	Antioxidant	-0.5925	-0.1181	2	73	292	15	2014.866667	0	3.144654088	0.653594771	0	0	0	0	0
aqueous compositions	Aqueous Compositions	-0.3602	-0.4009	6	22	196	6	1991.166667	2.380952381	0	0	0	0	0	0	0
aqueous solution	Aqueous Solution	-0.3498	-0.2384	6	52	164	8	2011.25	1.19047619	1.257861635	0	0	0	0	0	5.263157895
Arctic	Arctic	0.6759	0.3349	1	210	1952	119	2007.655462	19.04761905	2.51572327	3.921568627	4.761904762	0	2.631578947	0	0
