id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<total whole period>	score<total avg.year>	weight<USA antarctic region prop>	score<USA antarctic region avg.year>	weight<UK antarctic region prop>	score<UK antarctic region avg.year>	weight<Germany antarctic region prop>	score<Germany antarctic region avg.year>	weight<Canada antarctic region prop>	score<Canada antarctic region avg.year>	weight<Norway antarctic region prop>	score<Norway antarctic region avg.year>	weight<Russia antarctic region prop>	score<Russia antarctic region avg.year>	weight<France antarctic region prop>	score<France antarctic region avg.year>	weight<Peoples R China antarctic region prop>	score<Peoples R China antarctic region avg.year>	weight<Australia antarctic region prop>	score<Australia antarctic region avg.year>	weight<Japan antarctic region prop>	score<Japan antarctic region avg.year>	weight<Denmark antarctic region prop>	score<Denmark antarctic region avg.year>	weight<Sweden antarctic region prop>	score<Sweden antarctic region avg.year>	weight<Italy antarctic region prop>	score<Italy antarctic region avg.year>	weight<Netherlands antarctic region prop>	score<Netherlands antarctic region avg.year>	weight<Spain antarctic region prop>	score<Spain antarctic region avg.year>	weight<Finland antarctic region prop>	score<Finland antarctic region avg.year>	weight<Switzerland antarctic region prop>	score<Switzerland antarctic region avg.year>	weight<New Zealand antarctic region prop>	score<New Zealand antarctic region avg.year>	weight<South Korea antarctic region prop>	score<South Korea antarctic region avg.year>	weight<Poland antarctic region prop>	score<Poland antarctic region avg.year>	weight<AWI antarctic region prop>	score<AWI antarctic region avg.year>	weight<BAS antarctic region prop>	score<BAS antarctic region avg.year>	weight<NOAA antarctic region prop>	score<NOAA antarctic region avg.year>	weight<NIPR antarctic region prop>	score<NIPR antarctic region avg.year>	weight<AAD antarctic region prop>	score<AAD antarctic region avg.year>	weight<NPI antarctic region prop>	score<NPI antarctic region avg.year>	weight<KOPRI antarctic region prop>	score<KOPRI antarctic region avg.year>	weight<AARI antarctic region prop>	score<AARI antarctic region avg.year>	weight<PRIC antarctic region prop>	score<PRIC antarctic region avg.year>
D'Urville sea	0.4995	0.2342	12	23	67	0.0792757774140753	2011	0.0372661548781397	2010	0.0121847203606677	2011	0.0749203970781045	2003.75	0.0737463126843658	2011	0	1990.5	0.535236396074933	2009.83333333333	0.637716368053447	2012.42857142857	0	1996.5	0.271950271950272	2011.14285714286	0.507936507936508	2012.75	0	1996	0	1991	0.0324886289798571	2011	0	1992	0	1994	0	1992	0	1995	0.0359324469996407	2011	0	1992	0.0973709834469328	2011	0.154440154440154	2003.75	0.0204540805890775	2011	0	1990	0.311526479750779	2018.5	0.509554140127389	2010.625	0	1990	0	1990	0	1990	0	1990
Filchner-Ronne ice shelf	0.3866	-0.2788	2	48	251	0.444967266775778	2005.98850574713	0.365208317805769	2005.9387755102	0.999147069574753	2005.35365853659	1.19872635324967	2006.421875	0.368731563421829	2009.2	2.1105527638191	2009.2380952381	0.267618198037467	2012.66666666667	0.151837230488916	2008.2	0.193923723335488	2015.33333333333	0.0388500388500388	2014	0.126984126984127	2004.5	0.375234521575985	2017	0.44543429844098	1999	0.0649772579597141	2011	0.234741784037559	2018.33333333333	0.0918273645546373	2018	0.4	2000	0.474683544303798	2013.33333333333	0	1991.5	0	1992	0.0973709834469328	2019	2.08494208494209	2006.61111111111	1.43178564123543	2004.97142857143	0.116822429906542	1996	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
Heard Island and McDonald Islands	-0.3637	0.3407	8	30	113	0.460310965630115	2004	0.335395393903257	2001.95555555556	0.194955525770684	2004.125	0.149840794156209	2003.125	0.589970501474926	1999.625	0.50251256281407	2003.8	0.356824264049955	2004	1.09322805952019	2007.52777777778	0	1996.5	1.88422688422688	2005.47422680412	0.0634920634920635	2010	0	1996	0.22271714922049	2018	0.0649772579597141	1996	0.625978090766823	2003.125	0.0459136822773186	2018	0	1992	0.316455696202532	2013.5	0.143729787998563	2008	0.10593220338983	2014	0.389483933787731	2004	0	1990	0.122724483534465	2005	0.467289719626168	1994	0	1990	3.63057324840764	2004.64912280702	0.309597523219814	2000	0	1990	0	1990	0	1990
Kohler glacier	0.223	-0.5452	6	4	16	0.0230155482815057	2014.77777777778	0.0670790787806514	2014.77777777778	0.0243694407213354	2017	0	1992	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0	1994	0	1991	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
Riiser-Larsen Sea	0.7077	0.2342	1	15	33	0.0613747954173486	2010.70833333333	0.0521726168293955	2009.28571428571	0.0243694407213354	2011.5	0.187300992695261	2013.5	0	1992	0.50251256281407	2006	0.981266726137377	2008.18181818182	0	1991	0	1996.5	0	1994	0	1991	0.187617260787992	2018	0.111358574610245	2015	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0.308880308880309	2014.125	0	1990	0.233644859813084	2001.5	0	1990	0	1990	0	1990	0	1990	0.649350649350649	2000	0	1990
South Georgia and the South Sandwich Islands	-0.6332	0.1653	4	43	230	0.514013911620295	2007.04975124378	0.544085861220839	2005.68493150685	0.889484586328744	2008.31506849315	0.262221389773366	2007.85714285714	0.442477876106195	2011.83333333333	0.201005025125628	2009.5	0.981266726137377	2003.81818181818	0.425144245368965	2007.07142857143	0.387847446670976	2013.5	0.233100233100233	2010.08333333333	0.507936507936508	2008.125	0	1996	0.22271714922049	1999	0.324886289798571	2013	0.156494522691706	2005.5	0.596877869605142	2007.92307692308	0	1992	0.474683544303798	2014	0.143729787998563	2013	0.211864406779661	2006	0.0973709834469328	2008	0.115830115830116	2008.33333333333	1.02270402945388	2008.1	1.05140186915888	2008.55555555556	0.467289719626168	2006.33333333333	0.127388535031847	2002.5	0.309597523219814	2010	0	1990	0	1990	0	1990
abbot ice shelf	0.0315	-0.4487	6	7	13	0.0153436988543372	2013.5	0.0298129239025117	2014.5	0.0121847203606677	2015	0.0374601985390523	2013.5	0	1992	0	1990.5	0	1993	0	1991	0.0646412411118293	2011	0	1994	0	1991	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0.0772200772200772	2013.5	0.0204540805890775	2015	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.529100529100529	2011
adelaide island	-0.6902	-0.1428	3	32	156	0.253171031096563	2007.23232323232	0.156517850488187	2007.47619047619	0.913854027050079	2008.05333333333	0.112380595617157	2011.83333333333	0.221238938053097	2003.66666666667	0.100502512562814	2014	0.178412132024978	1993	0.151837230488916	2012	0.0646412411118293	2017	0.0388500388500388	2015.5	0	1991	0	1996	0.22271714922049	2013	0.194931773879142	2011.16666666667	0.234741784037559	2017.66666666667	0.275482093663912	2010.83333333333	0	1992	0	1995	0.107797340998922	2011.66666666667	0.10593220338983	2017	0.292112950340798	2011	0.0772200772200772	2010.5	1.49314788300266	2008.28767123288	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
adelie land	0.4004	0.2381	12	43	298	0.649549918166939	2007.61023622047	0.320488931952001	2007.09302325581	0.402095771902035	2011.57575757576	0.393332084660049	2009.71428571429	1.32743362831858	2009.11111111111	0.402010050251256	2013.75	0.267618198037467	2004.33333333333	5.34467051320984	2007.19886363636	0.193923723335488	2005.66666666667	1.12665112665113	2009.8275862069	1.77777777777778	2011	0.375234521575985	2010	0	1991	0.519818063677713	2006.8125	1.09546165884194	2008.21428571429	0.321395775941231	2014.14285714286	1.6	2008	0.949367088607595	2012.83333333333	0.179662234998203	2014	0.317796610169492	2013.33333333333	0.876338851022396	2005.22222222222	0.424710424710425	2010.54545454545	0.122724483534465	2011.83333333333	0.116822429906542	2008	2.33644859813084	2009.4	1.3375796178344	2010	0.309597523219814	2009	0	1990	1.2987012987013	2000.5	0	1990
admiralty bay	-1.1311	0.0576	11	33	416	0.603518821603928	2009.17372881356	0.126704926585675	2008.23529411765	0.121847203606677	2011.2	0.149840794156209	2010.375	0.147492625368732	2013.5	0.201005025125628	2011.5	0.178412132024978	2000.5	0.0607348921955664	2015	0	1996.5	0.0971250971250971	2009.2	0.0634920634920635	2008	0	1996	0	1991	0.129954515919428	2013.5	0.156494522691706	1992	0.0918273645546373	2002	0	1992	0.791139240506329	2012.2	0	1991.5	0.211864406779661	2000.5	10.4186952288218	2009.29906542056	0.0772200772200772	2014	0.0818163223563101	2013.5	0.817757009345794	2010.71428571429	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
