id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<total arctic region prop>	score<total arctic region avg.year>	weight<USA arctic region prop>	score<USA arctic region avg.year>	weight<UK arctic region prop>	score<UK arctic region avg.year>	weight<Germany arctic region prop>	score<Germany arctic region avg.year>	weight<Canada arctic region prop>	score<Canada arctic region avg.year>	weight<Norway arctic region prop>	score<Norway arctic region avg.year>	weight<Russia arctic region prop>	score<Russia arctic region avg.year>	weight<France arctic region prop>	score<France arctic region avg.year>	weight<Peoples R China arctic region prop>	score<Peoples R China arctic region avg.year>	weight<Australia arctic region prop>	score<Australia arctic region avg.year>	weight<Japan arctic region prop>	score<Japan arctic region avg.year>	weight<Denmark arctic region prop>	score<Denmark arctic region avg.year>	weight<Sweden arctic region prop>	score<Sweden arctic region avg.year>	weight<Italy arctic region prop>	score<Italy arctic region avg.year>	weight<Netherlands arctic region prop>	score<Netherlands arctic region avg.year>	weight<Spain arctic region prop>	score<Spain arctic region avg.year>	weight<Finland arctic region prop>	score<Finland arctic region avg.year>	weight<Switzerland arctic region prop>	score<Switzerland arctic region avg.year>	weight<New Zealand arctic region prop>	score<New Zealand arctic region avg.year>	weight<South Korea arctic region prop>	score<South Korea arctic region avg.year>	weight<Poland arctic region prop>	score<Poland arctic region avg.year>	weight<AWI arctic region prop>	score<AWI arctic region avg.year>	weight<BAS arctic region prop>	score<BAS arctic region avg.year>	weight<NOAA arctic region prop>	score<NOAA arctic region avg.year>	weight<NIPR arctic region prop>	score<NIPR arctic region avg.year>	weight<AAD arctic region prop>	score<AAD arctic region avg.year>	weight<NPI arctic region prop>	score<NPI arctic region avg.year>	weight<KOPRI arctic region prop>	score<KOPRI arctic region avg.year>	weight<AARI arctic region prop>	score<AARI arctic region avg.year>	weight<PRIC arctic region prop>	score<PRIC arctic region avg.year>
Ittoqqortoormiit	0.041	0.1343	5	25	73	0.0400645611785849	2004.74285714286	0.019269679159842	2006.16666666667	0.028124121121215	2008.33333333333	0.0368561688012531	1998.5	0.0233617568041117	2004	0.0399440782903934	2007.66666666667	0.00846811753747142	2019	0.0450653447498873	2012	0.0621310966138552	2016	0	1990	0.0318775900541919	2000	0.303561004086398	2004	0	1990	0	1990	0.0378071833648393	2013	0.0754716981132076	2017	0.12911555842479	2004.75	0.0533902829684997	2014	0	1990	0	1990	0	1990	0.0456204379562044	1994.5	0	1994	0	1992	0	1997	0	2000	0.040766408479413	2000	0	2006	0	1996.5	0	2003
aasiaat	0.5014	-0.0294	5	17	43	0.0148811227234744	2010.53846153846	0	1990	0.028124121121215	2011.33333333333	0	1990	0.0116808784020558	2016	0.0133146927634645	2011.5	0	1990	0	1990	0	1990	0	1990	0	1990	0.0934033858727379	2009.25	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.0376506024096386	2012	0	1994.5	0	1994	0	1992	0	1997	0	2000	0	1995	0	2006	0	1996.5	0	2003
akimiski island	0.0226	-0.6638	6	9	22	0.0354857541867466	2009	0.028904518739763	2007.66666666667	0	1990	0	1990	0.175213176030838	2009.43333333333	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1994.5	0	1994	0	1992	0	1997	0	2000	0	1995	0	2006	0	1996.5	0	2003
akpatok island	0.0282	-0.6215	6	8	14	0.00572350873979785	2011.8	0	1990	0	1990	0	1990	0.0292021960051396	2011.8	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1994.5	0	1994	0	1992	0	1997	0	2000	0	1995	0	2006	0	1996.5	0	2003
alaska	-0.4689	-0.4571	11	137	3477	3.96639155667991	2008.84415584416	9.49674021260879	2008.7923571187	1.75307021655573	2011.2192513369	1.79673822906109	2012.26153846154	3.25896507417358	2009.87275985663	0.892084415152121	2011.29850746269	1.72749597764417	2010.30392156863	1.73501577287066	2011	2.85803044423734	2013.80434782609	3.20546505517604	2009.6393442623	3.47465731590692	2010.44036697248	1.0507880910683	2011.03333333333	2.26226226226226	2010.22123893805	1.84243964421855	2011.62068965517	1.92816635160681	2012.17647058824	1.66037735849057	2012.18181818182	1.96901226597805	2011.65573770492	2.66951414842499	2009.78	6.62393162393162	2011.93548387097	2.67558528428094	2013.29166666667	0.602409638554217	2013.25	1.45985401459854	2014.5625	1.1142061281337	2013.5	6.45340751043116	2010.08189655172	1.48588410104012	2015.5	6.25	2012.16666666667	0.774561761108846	2010.89473684211	3.470715835141	2015.4375	1.17955439056356	2006.55555555556	0	2003
alert	-0.1726	-0.3071	1	31	194	0.10645726256024	2006.43010752688	0.141310980505508	2007.61363636364	0.0468735352020249	2003	0.110568506403759	2011.83333333333	0.461394696881206	2006.78481012658	0.0199720391451967	2011.33333333333	0.0338724701498857	2005	0.383055430374042	2005.88235294118	0	1990	0	1990	0.0637551801083838	2003.5	0.0350262697022767	2014	0.0600600600600601	2015.66666666667	0.317662007623888	2005.6	0.0756143667296786	2008.5	0	1990	0.0645577792123951	2011	0.106780565936999	2005	0	1990	0	1990	0	1990	0.0456204379562044	2010.5	0	1994	0.166898470097357	2015.16666666667	0	1997	0	2000	0	1995	0	2006	0	1996.5	0	2003
aleutian islands	-0.1321	-0.7732	8	29	440	0.856236907473758	2008.66042780749	1.9269679159842	2008.49333333333	0.328114746414175	2009.68571428571	0.313277434810651	2010.26470588235	0.636607872912043	2008.52293577982	0.0532587710538579	2015.625	0.618172580235414	2010.64383561644	0.450653447498873	2005.8	0.403852127990059	2011.84615384615	0.525486074619023	2011.6	1.75326745298055	2009.36363636364	0.0467016929363689	2012.75	0.16016016016016	2012	0.381194409148666	2011.33333333333	0.226843100189036	2016.16666666667	0.30188679245283	2013.5	0.0968366688185926	2014	0.160170848905499	2006.66666666667	1.70940170940171	2014.5	1.2263099219621	2012.45454545455	0.112951807228916	2013.33333333333	0.0684306569343066	2013	0	1994	6.00834492350487	2009.5787037037	0	1997	2.08333333333333	2013.5	0	1995	0.216919739696312	2017	0	1996.5	0.448430493273543	2013
alexandra fiord	0.0043	-0.4648	1	8	31	0.0263281402030701	2004.04347826087	0.016058065966535	2002.6	0.00937470704040499	2017	0	1990	0.134330101623642	2004.04347826087	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.0116754232340922	2017	0	1990	0	1990	0	1990	0	1990	0.0322788896061975	2001	0	1990	0	1990	0	1990	0	1990	0	1994.5	0	1994	0	1992	0	1997	0	2000	0	1995	0	2006	0	1996.5	0	2003
alfotbreen	0.1758	1.3355	4	1	2	0.0103023157316361	2002.33333333333	0	1990	0	1990	0	1990	0	1990	0.0532587710538579	2003.625	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.02002002002002	2016	0	1990	0.0378071833648393	1992	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1994.5	0	1994	0	1992	0	1997	0	2000	0	1995	0	2006	0	1996.5	0	2003
alpha ridge	-0.4637	-0.1	9	56	291	0.0881420345928868	2007.57142857143	0.125252914538973	2006.07692307692	0.103121777444455	2011.09090909091	0.0737123376025062	2008.375	0.116808784020558	2008.55	0.0665734638173224	2010.9	0.0931492929121856	2010.09090909091	0	1990	0.0931966449207829	2018.66666666667	0.0525486074619023	1994	0.0318775900541919	2009	0.10507880910683	2012.11111111111	0.1001001001001	2009.8	0.0635324015247776	2009	0.0756143667296786	2007.5	0.0754716981132076	2019	0	1990	0.0533902829684997	2009	0	1990	0	1990	0.0753012048192771	2005.5	0.0912408759124088	2002.5	0.139275766016713	2011	0.0278164116828929	2016	0	1997	0	2000	0	1995	0	2006	0	1996.5	0	2003
