id	x	y	cluster	weight<Links>	weight<Total link strength>
D'Urville sea	1.088	-0.0252	5	23	67
Filchner-Ronne ice shelf	0.9075	-0.0046	4	52	256
Heard Island and McDonald Islands	1.1356	0.0096	10	32	115
Ittoqqortoormiit	-0.7875	0.0191	9	25	73
Kohler glacier	1.0253	0.0111	4	4	16
Riiser-Larsen Sea	1.0801	-0.0345	5	15	33
South Georgia and the South Sandwich Islands	1.1702	0.0208	2	48	238
aasiaat	-0.6069	0.0469	9	17	43
abbot ice shelf	1.079	0.0143	4	7	13
adelaide island	1.0902	0.0344	2	34	158
adelie land	1.0017	-0.0195	5	49	305
admiralty bay	1.0626	0.0468	2	38	423
aitcho islands	1.378	0.0955	18	1	1
akimiski island	-0.6619	-0.0779	1	9	22
akpatok island	-0.6467	-0.0702	1	8	14
alaska	-0.7231	-0.0972	11	151	3498
alert	-0.7171	-0.0493	1	31	194
aleutian islands	-0.5177	-0.107	11	33	446
alexander island_antarctic	1.1292	0.0287	2	36	175
alexandra fiord	-0.6622	-0.0482	1	8	31
alfotbreen	-1.002	0.1787	7	1	2
alpha ridge	-0.8506	-0.0615	6	56	291
alta	-0.9337	0.0109	3	11	26
amanda bay	1.0818	-0.0168	10	4	4
ameralik fjord	-0.6512	0.0625	9	3	10
amerasia basin	-0.8769	-0.0747	6	59	484
amery ice shelf	0.9757	-0.0293	5	35	264
ammassalik island	-0.1994	0.0287	13	4	38
amsterdam island	1.138	0.002	10	15	47
amukta pass	-0.5875	-0.1339	11	5	20
amund ringnes island	-0.726	-0.0476	1	9	13
amundsen basin	-0.8823	-0.076	6	44	379
amundsen gulf	-0.6721	-0.0624	1	53	316
amundsen sea	1.0286	0.0053	4	87	1058
anaktuvuk pass	-0.6772	-0.1316	11	2	3
andenes	-0.8384	0.0157	3	13	35
andvord bay	1.188	0.0345	2	8	16
antarctic ocean	0.9352	-0.0038	10	61	630
antarctic peninsula	1.118	0.0259	2	195	4677
antarctic sound	1.1101	0.037	2	11	18
antipodes islands	1.1501	-0.0148	10	11	47
anuchin glacier	0.9973	-0.0382	4	2	5
anvers island	1.1176	0.0328	2	26	100
apatity	-0.893	-0.0129	3	15	44
arctic archipelago	-0.6924	-0.0397	1	117	1951
arctic bay	-0.6546	-0.0464	1	20	30
arctic ocean	-0.7947	-0.0495	6	196	8702
ardley island	1.0537	0.0303	2	18	76
argentine islands	1.1122	0.0442	2	17	42
arkhangelsk oblast	-0.9802	0.0025	3	8	18
atlas cove	1.1415	0.0094	10	1	4
attawapiskat river	-0.7051	-0.1287	1	2	5
auckland island	1.1626	-0.0162	10	19	123
austfonna	-0.8744	0.1105	7	23	90
australian antarctic territory	1.0841	-0.0168	10	13	29
axel heiberg island	-0.6718	-0.0391	1	45	219
baffin	-0.608	-0.052	1	13	28
