id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<total WOS DB cate prop>	score<total WOS DB cate avg.year>	weight<total polar cate prop>	score<total polar avg.year>	weight<USA cate prop>	score<USA cate avg.year>	weight<UK cate prop>	score<UK cate avg.year>	weight<Germany cate prop>	score<Germany cate avg.year>	weight<Canada cate prop>	score<Canada cate avg.year>	weight<Norway cate prop>	score<Norway cate avg.year>	weight<Russia cate prop>	score<Russia cate avg.year>	weight<France cate prop>	score<France cate avg.year>	weight<Peoples R China cate prop>	score<Peoples R China cate avg.year>	weight<Australia cate prop>	score<Australia cate avg.year>	weight<Japan cate prop>	score<Japan cate avg.year>	weight<Denmark cate prop>	score<Denmark cate avg.year>	weight<Sweden cate prop>	score<Sweden cate avg.year>	weight<Italy cate prop>	score<Italy cate avg.year>	weight<Netherlands cate prop>	score<Netherlands cate avg.year>	weight<Spain cate prop>	score<Spain cate avg.year>	weight<Finland cate prop>	score<Finland cate avg.year>	weight<Switzerland cate prop>	score<Switzerland cate avg.year>	weight<New Zealand cate prop>	score<New Zealand cate avg.year>	weight<South Korea cate prop>	score<South Korea cate avg.year>	weight<Poland cate prop>	score<Poland cate avg.year>	weight<AWI cate prop>	score<AWI cate avg.year>	weight<BAS cate prop>	score<BAS cate avg.year>	weight<NOAA cate prop>	score<NOAA cate avg.year>	weight<NIPR cate prop>	score<NIPR cate avg.year>	weight<AAD cate prop>	score<AAD cate avg.year>	weight<NPI cate prop>	score<NPI cate avg.year>	weight<KOPRI cate prop>	score<KOPRI cate avg.year>	weight<AARI cate prop>	score<AARI cate avg.year>	weight<PRIC cate prop>	score<PRIC cate avg.year>
Acoustics	-0.4378	-0.1531	5	253	33.8017	0.170557015533865	2007.05194082972	0.14004763046067	2005.28172588833	0.177909001438414	2003.94329896907	0.0497136744068971	2011.51851851852	0.0394244037058939	2009.94117647059	0.109873698583376	2003.50980392157	0.0761614623000761	2008.5	0.617929240132879	2005.13043478261	0.0750500333555704	2014.94117647059	0.0257599175682638	2005.16666666667	0.131172839506173	2011.08333333333	0.00378272053260705	2005	0.048941637097761	2006.625	0.0130174433741213	2000	0.0162654521795706	2018	0.0285171102661597	2017	0.0205803663305207	2017	0	1990	0.011059500110595	2003	0.0893134513824169	2009.9	0.0102595670462706	2002	0.147492625368732	2014.28571428571	0.0574877838459328	2009.63636363636	0.0225869597952116	2007	0.32862942199884	2008.18181818182	0	1990	0.2255299954894	2012.88888888889	0.0496770988574267	2003	0	1990	0.131104555883317	2012	0	1990
Agricultural Economics & Policy	0.5186	-0.3992	1	253	34.3948	0.0277178790733439	2008.26155439285	0.00275815367290962	2007.58333333333	0.00407647466470997	2008.2	0.000943930526713236	2006	0	1990	0.00426693975081072	2010.66666666667	0.00793348565625792	2006.66666666667	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.00526315789473684	1994	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.00966557123526	1998	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
Agricultural Engineering	-0.6755	0.0672	4	253	34.383	0.095863384428858	2010.20071760236	0.0167391395321412	2008.96875	0.0133941310411899	2004.61538461538	0.00314643508904412	1999.5	0.00633606488130437	2015	0.00782272287648632	2007.33333333333	0.0296183464500296	2006.6	0.00232304225613864	2008	0.0125083388925951	2009	0.0424280995241992	2012.9	0	1990	0.0132395218641247	2014.33333333333	0.0122354092744402	2014	0	1990	0.00813272608978529	2009	0.00633713561470215	2017	0.0274404884406943	2013	0.0315789473684211	2011.75	0	1990	0	1990	0.0718169693238945	2012.14285714286	0.0109253796569431	2010	0.0143719459614832	2015	0	1990	0.00644371415684	1994	0.0143802128271498	2015	0	1990	0	1990	0.106951871657754	2011.66666666667	0	1990	0.0981836033382425	2013.5
Agriculture, Dairy & Animal Science	-0.3391	0.4737	4	253	17.9748	0.395275202303718	2007.13071871513	0.0697622661751451	2008.20118343195	0.0299912064617948	2005.24	0.00943930526713236	2011.33333333333	0.0035200360451691	2014.5	0.0206235421289185	2005.57142857143	0.171363290175171	2009.65789473684	0.0278765070736637	2008.2	0.0458639092728486	2008.5	0.0651574385550202	2015.90909090909	0.0385802469135803	2012.16666666667	0.0586321682554093	2008.77777777778	0.0774909254047882	2012.28571428571	0.0455610518094246	2012.11111111111	0.0298199956625461	2011.66666666667	0.0190114068441065	2016	0.0480208547712149	2010	0.198245614035088	2002.92307692308	0.08847600088476	2007	0.0232991612301957	2001	0.200061557402278	2008.42857142857	1.1908663826068	2008.61538461538	0	1990	0	1990	0	1990	0.0143802128271498	2005	0.0150353330326267	2008	0	1990	0	1990	0	1990	0	1990
Agriculture, Multidisciplinary	-0.4466	0.2222	4	253	39.6751	0.275882014658006	2008.14940988836	0.0466508405711093	2009.67625899281	0.0117926588514824	2009.88235294118	0.00629287017808824	2004.33333333333	0.0126721297626087	2014.28571428571	0.017778915628378	2010.75	0.0634678852500634	2008.75	0	1990	0.00833889259506338	1999.66666666667	0.0803103312422342	2013.3	0.0154320987654321	2008	0.0510667271901952	2005.83333333333	0.0203923487907337	2000	0.0347131823309902	2011	0.0216872695727608	2013.5	0.0316856780735108	2011.66666666667	0.0891815874322563	2006.72727272727	0.0701754385964912	2001.85714285714	0.02211900022119	2018	0.0310655483069276	2000.5	0.174412639786601	2013.7	0.0764776575986016	2013.66666666667	0.00319376576921849	2019	0	1990	0	1990	0.0215703192407248	2015	0.0150353330326267	2003	0	1990	0.0623885918003565	2012	0	1990	0.0736377025036819	2019
Agronomy	-0.5523	0.2618	4	253	27.2917	0.374163605232518	2006.93710838704	0.0758967803786854	2008.28819444444	0.0589632942574121	2006.01388888889	0.03209363790825	2008.3125	0.0383683928923432	2005	0.0519144336348638	2007.0303030303	0.0666412795125666	2004.11764705882	0.0487838873789115	2013.88235294118	0.0125083388925951	2008.75	0.137133678819287	2014.14634146341	0.0570987654320988	2009.47058823529	0.0832198517173551	2010.19047619048	0.0621966638117379	2012.38461538462	0.0553241343400156	2007.08333333333	0.0569290826284971	2010.875	0.107731305449937	2006.73333333333	0.0514509158263017	2013.85714285714	0.180701754385965	2005.35294117647	0.04423800044238	2009.5	0.0349487418452936	2005.33333333333	0.0666871858007592	2012.6	0.229432972795805	2016.44444444444	0.012775063076874	2006.5	0.0376449329920193	2004.25	0.01933114247052	2003	0.0790911705493241	2007	0.120282664261013	2011.5	0	1990	0.0267379679144385	2019	0	1990	0	1990
Allergy	0.1028	0.7207	2	253	30.8129	0.106605004319247	2006.14852723758	0.00989130972353796	2006.69444444444	0.00931765637647994	2007.09090909091	0.00377572210685294	2012	0.00211202162710146	2019	0.00640040962621608	2016	0.017982567487518	2008.5	0	1990	0.0125083388925951	2015	0	1990	0.0138888888888889	2006	0.00567408079891058	2003	0.0407846975814675	2009.85714285714	0.0715959385576673	2003.83333333333	0.00813272608978529	2006	0.00950570342205323	2015	0.0102901831652603	2019	0.0315789473684211	1999	0	1990	0.0116495806150979	2007	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.02255299954894	2002	0	1990	0	1990	0	1990	0	1990
Anatomy & Morphology	-0.0525	0.4841	2	253	55.4987	0.107388281838052	2006.35935378225	0.0575407921417353	2006.43307086614	0.0774530186294895	2005.86274509804	0.0176200364986471	2004	0.0394244037058939	2002.85714285714	0.0369801445070262	2009.08333333333	0.0253871541000254	2009.6	0.0557530141473274	2009.66666666667	0.0416944629753169	2003.875	0.0090917356123284	2017	0.0555555555555556	2007.14285714286	0.0680889695869269	2006.16666666667	0.048941637097761	2004.8	0	1990	0.0948818043808284	2004.66666666667	0	1990	0.178363174864513	2004.33333333333	0.00701754385964913	2002	0.02211900022119	2015	0.0232991612301957	2001	0	1990	0.114716486397902	2010.75	0.0383251892306219	2006.4	0.0100386487978718	1997.5	0.03866228494104	2013	0	1990	0	1990	0.0993541977148534	2005.5	0	1990	0	1990	0	1990
Andrology	-0.0236	0.6767	2	253	40.2598	0.0317446964645061	2007.3954092318	0.0059918510825278	2009.15384615385	0.00174706057058999	1998	0	1990	0.00422404325420291	1992	0.00640040962621608	2013.5	0.0253871541000254	2010.8	0	1990	0	1990	0	1990	0	1990	0	1990	0.0244708185488805	2011	0.039052330122364	2011.8	0.0243981782693559	2013.5	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
Anesthesiology	0.3164	0.7061	2	253	18.1892	0.258523895429055	2006.00726305463	0.00879755912910829	2013.04166666667	0.00917206799559744	2011	0.00377572210685294	2016	0	1990	0.00853387950162144	2012	0.0528899043750528	2014.2	0	1990	0.00416944629753169	2019	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.0140350877192983	2016.5	0	1990	0.0077663870767319	2015	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
